2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
1.18,1.330645689,-1.2008849362,-6.7470126358
1.19,1.3282481292,-1.1917482,-6.7687618853
1.20,1.3242521962,-1.1881729554,-6.7928837802
1.21,1.3118648039,-1.1873784566,-6.8063287708
1.22,1.2990778183,-1.1865839578,-6.7972336301
1.23,1.2858912394,-1.1842004614,-6.7742980579
1.24,1.2711062873,-1.1842004614,-6.7505716039
1.25,1.2659115744,-1.1826114638,-6.730404118
1.26,1.2671103543,-1.1802279674,-6.7280314726
1.27,1.2659115744,-1.185789459,-6.7323813225
1.28,1.2647127945,-1.1929399482,-6.7224953
1.29,1.2615160481,-1.189761953,-6.7019323732
1.30,1.2567209285,-1.1849949602,-6.6718788648
1.31,1.2527249955,-1.1830087132,-6.6331256566
1.32,1.2527249955,-1.183803212,-6.6003040619
1.33,1.2519258089,-1.1853922096,-6.5844864259
1.34,1.2475302826,-1.1869812072,-6.5876499531
1.35,1.23873923,-1.1933371976,-6.6173080206
1.36,1.2279502109,-1.2024739338,-6.6608065196
1.37,1.2215567181,-1.21161067,-6.7058867822
1.38,1.2215567181,-1.2183639098,-6.7529442493
1.39,1.2219563114,-1.2159804134,-6.789720253
1.40,1.2295485841,-1.2068436772,-6.8138421479
1.41,1.2435343496,-1.201679435,-6.8205646432
1.42,1.2487290625,-1.2048574302,-6.8063287708
1.43,1.2471306893,-1.2112134206,-6.7889293712
1.44,1.2479298759,-1.2120079194,-6.7731117352
1.45,1.2479298759,-1.2064464278,-6.7517579266
1.46,1.2475302826,-1.2052546796,-6.7323813225
1.47,1.2483294692,-1.2124051688,-6.7347539679
1.48,1.2531245888,-1.2171721616,-6.7568986583
1.49,1.2555221486,-1.2167749122,-6.7849749622
1.50,1.2499278424,-1.2231309026,-6.8043515663
1.51,1.2355424836,-1.2346511352,-6.7944655438
1.52,1.2291489908,-1.2350483846,-6.7553168947
1.53,1.2395384166,-1.2183639098,-6.7114229548
1.54,1.2515262156,-1.1889674542,-6.6766241556
1.55,1.2523254022,-1.1635434926,-6.6596201969
1.56,1.2451327228,-1.1548040058,-6.6604110787
1.57,1.2411367898,-1.1532150082,-6.6702971012
1.58,1.2487290625,-1.154009507,-6.68295121
1.59,1.2615160481,-1.1555985046,-6.6912554689
1.60,1.2755018136,-1.1528177588,-6.6845329736
1.61,1.2914855456,-1.1571875022,-6.6584338742
1.62,1.3030737513,-1.1611599962,-6.6169125797
1.63,1.3054713111,-1.1496397636,-6.5888362758
1.64,1.2950818853,-1.1317635406,-6.5975359756
1.65,1.2802969332,-1.1238185526,-6.6351028611
1.66,1.2719054739,-1.1297772936,-6.6758332738
1.67,1.270706694,-1.1424892744,-6.7122138366
1.68,1.2774997801,-1.1544067564,-6.7371266133
1.69,1.2898871724,-1.157982001,-6.7442445495
1.70,1.3086680575,-1.1524205094,-6.7450354313
1.71,1.3278485359,-1.1468590178,-6.7553168947
1.72,1.3378383684,-1.1512287612,-6.7695527671
1.73,1.3414347081,-1.1635434926,-6.7916974575
1.74,1.3402359282,-1.1802279674,-6.8158193524
1.75,1.3286477225,-1.2000904374,-6.8245190522
1.76,1.3158607369,-1.2179666604,-6.817401116
1.77,1.3058709044,-1.2338566364,-6.7944655438
1.78,1.306670091,-1.245376869,-6.7644120354
1.79,1.314661957,-1.247363116,-6.746221754
1.80,1.3202562632,-1.2421988738,-6.7458263131
1.81,1.3202562632,-1.2445823702,-6.7572940992
1.82,1.3082684642,-1.255308104,-6.7679710035
1.83,1.2898871724,-1.263253092,-6.769948208
1.84,1.2830940863,-1.2624585932,-6.7537351311
1.85,1.2854916461,-1.2549108546,-6.7379174951
1.86,1.2914855456,-1.241404375,-6.7339630861
1.87,1.3002765982,-1.2326648882,-6.7394992587
1.88,1.3094672441,-1.2370346316,-6.738312936
1.89,1.3214550431,-1.2425961232,-6.7300086771
1.90,1.3358404019,-1.2437878714,-6.7331722043
1.91,1.3362399952,-1.239418128,-6.7406855814
1.92,1.3262501627,-1.2298841424,-6.7418719041
1.93,1.3182582967,-1.2267061472,-6.746221754
1.94,1.3098668374,-1.2370346316,-6.7410810223
1.95,1.3050717178,-1.25133561,-6.7173545683
1.96,1.2974794451,-1.253321857,-6.6960007597
1.97,1.2830940863,-1.2489521136,-6.6857192963
1.98,1.2683091342,-1.2469658666,-6.6758332738
1.99,1.2527249955,-1.2362401328,-6.6655518104
2.00,1.2331449238,-1.2163776628,-6.6564566697
2.01,1.2167615985,-1.1969124422,-6.6580384333
2.02,1.2123660722,-1.1853922096,-6.6706925421
2.03,1.2203579382,-1.1786389698,-6.6841375327
2.04,1.2343437037,-1.1706939818,-6.6932326734
2.05,1.2495282491,-1.1627489938,-6.7047004595
2.06,1.2579197084,-1.1583792504,-6.7363357315
2.07,1.2611164548,-1.1532150082,-6.777857026
2.08,1.2663111677,-1.138119531,-6.797629071
2.09,1.2671103543,-1.1218323056,-6.8106786207
2.10,1.2695079141,-1.1170653128,-6.8344050747
2.11,1.2814957131,-1.1174625622,-6.8605041741
2.12,1.2970798518,-1.114284567,-6.8850215099
2.13,1.3030737513,-1.114284567,-6.9059798776
2.14,1.3010757848,-1.1269965478,-6.9142841365
2.15,1.2954814786,-1.1464617684,-6.9067707594
2.16,1.2926843255,-1.1651324902,-6.8739491647
2.17,1.290686359,-1.1810224662,-6.8083059753
2.18,1.2918851389,-1.1973096916,-6.7371266133
2.19,1.2970798518,-1.207638176,-6.6920463507
2.20,1.2922847322,-1.2092271736,-6.6702971012
2.21,1.2735038471,-1.2131996676,-6.6615974014
2.22,1.262714828,-1.2227336532,-6.6580384333
2.23,1.2631144213,-1.2290896436,-6.6422207973
2.24,1.2575201151,-1.2330621376,-6.6137490525
2.25,1.2527249955,-1.2378291304,-6.5789502533
2.26,1.2639136079,-1.241404375,-6.540592486
2.27,1.2802969332,-1.2358428834,-6.5164705911
2.28,1.2854916461,-1.2259116484,-6.5259611727
2.29,1.286690426,-1.2183639098,-6.5678779081
2.30,1.2954814786,-1.2151859146,-6.631543893
2.31,1.3054713111,-1.2179666604,-6.6995597278
2.32,1.3150615503,-1.2187611592,-6.7592713037
2.33,1.3250513828,-1.2048574302,-6.8071196526
2.34,1.3222542297,-1.1802279674,-6.8288689021
2.35,1.3078688709,-1.1544067564,-6.8351959565
2.36,1.3042725312,-1.1309690418,-6.8486409471
2.37,1.310666024,-1.1158735646,-6.8581315287
2.38,1.3126639905,-1.1150790658,-6.8699947557
2.39,1.3110656173,-1.1250103008,-6.8786944555
2.40,1.3070696843,-1.1309690418,-6.8585269696
2.41,1.302674158,-1.1365305334,-6.8146330297
2.42,1.3062704977,-1.1428865238,-6.773902617
2.43,1.3130635838,-1.1424892744,-6.7414764632
2.44,1.3158607369,-1.138119531,-6.7197272137
2.45,1.3178587034,-1.136133284,-6.7074685458
2.46,1.3150615503,-1.136133284,-6.7039095777
2.47,1.2982786317,-1.130174543,-6.7078639867
2.48,1.2882887992,-1.126202049,-6.7134001593
2.49,1.2878892059,-1.1313662912,-6.7256588272
2.50,1.2922847322,-1.1409002768,-6.7394992587
2.51,1.2970798518,-1.1516260106,-6.7375220542
2.52,1.2934835121,-1.1647352408,-6.7141910411
2.53,1.2898871724,-1.17188573,-6.6944189961
2.54,1.2918851389,-1.1746664758,-6.6896737053
2.55,1.2894875791,-1.1802279674,-6.698768846
2.56,1.2782989667,-1.1885702048,-6.7220998591
2.57,1.2687087275,-1.1969124422,-6.7410810223
2.58,1.2651123878,-1.2064464278,-6.7398946996
2.59,1.2691083208,-1.221541905,-6.7134001593
2.60,1.2790981533,-1.2481576148,-6.6734606284
2.61,1.2914855456,-1.2696090824,-6.6370800656
2.62,1.2926843255,-1.2747733246,-6.6165171388
2.63,1.282694493,-1.2719925788,-6.6133536116
2.64,1.2687087275,-1.2767595716,-6.6228441932
2.65,1.2499278424,-1.2866908066,-6.6295666885
2.66,1.2279502109,-1.283115562,-6.627589484
2.67,1.2075709526,-1.2640475908,-6.623635075
2.68,1.1943843737,-1.2441851208,-6.6283803658
2.69,1.1943843737,-1.2171721616,-6.6406390337
2.70,1.2039746129,-1.1810224662,-6.6655518104
2.71,1.2159624119,-1.1555985046,-6.6995597278
2.72,1.2239542779,-1.1488452648,-6.7367311724
2.73,1.2263518377,-1.1504342624,-6.7758798215
2.74,1.2271510243,-1.1552012552,-6.8011880391
2.75,1.2223559047,-1.1627489938,-6.817401116
2.76,1.2163620052,-1.17188573,-6.8261008158
2.77,1.2131652588,-1.1810224662,-6.8304506657
2.78,1.2195587516,-1.1869812072,-6.8431047745
2.79,1.2415363831,-1.189761953,-6.8624813786
2.80,1.2595180816,-1.2068436772,-6.8794853373
2.81,1.2619156414,-1.2402126268,-6.8707856375
2.82,1.2635140146,-1.2684173342,-6.8355913974
2.83,1.2659115744,-1.2723898282,-6.7972336301
2.84,1.2643132012,-1.2549108546,-6.769948208
2.85,1.2599176749,-1.23147314,-6.7568986583
2.86,1.254722962,-1.2203501568,-6.754130572
2.87,1.2551225553,-1.2231309026,-6.7489898403
2.88,1.2563213352,-1.2267061472,-6.7288223544
2.89,1.2459319094,-1.2207474062,-6.7023278141
2.90,1.234743297,-1.207638176,-6.6805785646
2.91,1.2327453305,-1.203665682,-6.6588293151
2.92,1.2315465506,-1.2072409266,-6.6335210975
2.93,1.2291489908,-1.2052546796,-6.6287758067
2.94,1.2315465506,-1.2060491784,-6.6493387335
2.95,1.2287493975,-1.2191584086,-6.6758332738
2.96,1.2255526511,-1.2445823702,-6.6920463507
2.97,1.234743297,-1.269211833,-6.7015369323
2.98,1.2459319094,-1.2763623222,-6.6971870824
2.99,1.2515262156,-1.2660338378,-6.6853238554
3.00,1.2595180816,-1.245376869,-6.6924417916
3.01,1.2683091342,-1.2251171496,-6.7177500092
3.02,1.2798973399,-1.207638176,-6.7493852812
3.03,1.2962806652,-1.1925426988,-6.7853704031
3.04,1.3162603302,-1.1814197156,-6.8170056751
3.05,1.3322440622,-1.1766527228,-6.8304506657
3.06,1.3362399952,-1.1845977108,-6.8185874387
3.07,1.3342420287,-1.1905564518,-6.7956518665
3.08,1.3362399952,-1.1849949602,-6.7762752624
3.09,1.3374387751,-1.1826114638,-6.7584804219
3.10,1.3342420287,-1.1853922096,-6.7438491086
3.11,1.338637555,-1.1822142144,-6.7371266133
3.12,1.3442318612,-1.1770499722,-6.738312936
3.13,1.3378383684,-1.1766527228,-6.7327767634
3.14,1.3274489426,-1.1754609746,-6.7074685458
3.15,1.326649756,-1.1802279674,-6.6726697466
3.16,1.3282481292,-1.1969124422,-6.6351028611
3.17,1.3218546364,-1.217569411,-6.5912089212
3.18,1.31865789,-1.2306786412,-6.5492921858
3.19,1.3154611436,-1.2366373822,-6.5263566136
3.20,1.3074692776,-1.2406098762,-6.5425696905
3.21,1.3002765982,-1.2398153774,-6.599908621
3.22,1.2902867657,-1.2425961232,-6.6718788648
3.23,1.2806965265,-1.25133561,-6.7224953
3.24,1.2814957131,-1.2461713678,-6.7454308722
3.25,1.2962806652,-1.223528152,-6.76203939
3.26,1.3094672441,-1.1969124422,-6.7845795213
3.27,1.3090676508,-1.1834059626,-6.809492298
3.28,1.3074692776,-1.1929399482,-6.8336141929
3.29,1.3098668374,-1.2159804134,-6.8589224105
3.30,1.3030737513,-1.2362401328,-6.8719719602
3.31,1.282694493,-1.2449796196,-6.8680175512
3.32,1.266710761,-1.241404375,-6.8482455062
3.33,1.2663111677,-1.2278978954,-6.8217509659
3.34,1.274702627,-1.2100216724,-6.8047470072
3.35,1.2778993734,-1.1965151928,-6.7893248121
3.36,1.2810961198,-1.189761953,-6.7711345307
3.37,1.2922847322,-1.1885702048,-6.7561077765
3.38,1.2990778183,-1.1969124422,-6.734358527
3.39,1.2926843255,-1.2100216724,-6.710632073
3.40,1.2782989667,-1.2223364038,-6.694814437
3.41,1.2651123878,-1.2227336532,-6.6809740055
3.42,1.2571205218,-1.2120079194,-6.6675290149
3.43,1.2519258089,-1.1992959386,-6.6615974014
3.44,1.2523254022,-1.1901592024,-6.6683198967
3.45,1.258718895,-1.1853922096,-6.6849284145
3.46,1.2655119811,-1.1842004614,-6.7047004595
3.47,1.2699075074,-1.185789459,-6.714586482
3.48,1.2806965265,-1.1849949602,-6.710632073
3.49,1.3034733446,-1.1810224662,-6.7023278141
3.50,1.3250513828,-1.1750637252,-6.6936281143
3.51,1.3362399952,-1.1635434926,-6.6963962006
3.52,1.3418343014,-1.1472562672,-6.6963962006
3.53,1.3374387751,-1.1337497876,-6.68295121
3.54,1.3194570766,-1.1337497876,-6.6726697466
3.55,1.3034733446,-1.1448727708,-6.6718788648
3.56,1.294682292,-1.1567902528,-6.6687153376
3.57,1.2810961198,-1.1647352408,-6.6683198967
3.58,1.266710761,-1.1671187372,-6.6762287147
3.59,1.2563213352,-1.1683104854,-6.6797876828
3.60,1.2451327228,-1.1683104854,-6.6778104783
3.61,1.2367412635,-1.1687077348,-6.6892782644
3.62,1.2315465506,-1.1667214878,-6.7213089773
3.63,1.2223559047,-1.155995754,-6.7628302718
3.64,1.2155628186,-1.1385167804,-6.8079105344
3.65,1.2127656655,-1.1214350562,-6.837173161
3.66,1.2171611918,-1.1126955694,-6.845081979
3.67,1.2311469573,-1.1146818164,-6.8399412473
3.68,1.2479298759,-1.126202049,-6.8316369884
3.69,1.2659115744,-1.1373250322,-6.84112757
3.70,1.2834936796,-1.1512287612,-6.8751354874
3.71,1.2942826987,-1.1750637252,-6.916261341
3.72,1.2910859523,-1.1992959386,-6.9415695586
3.73,1.2794977466,-1.2092271736,-6.9411741177
3.74,1.2695079141,-1.2044601808,-6.9182385455
3.75,1.2615160481,-1.1889674542,-6.8755309283
3.76,1.2523254022,-1.169899483,-6.8225418477
3.77,1.2443335362,-1.1567902528,-6.7746934988
3.78,1.2415363831,-1.1508315118,-6.730404118
3.79,1.2363416702,-1.1548040058,-6.6845329736
3.80,1.2251530578,-1.1675159866,-6.6418253564
3.81,1.2251530578,-1.1802279674,-6.607817439
3.82,1.2443335362,-1.1834059626,-6.5836955441
3.83,1.2659115744,-1.1873784566,-6.5765776079
3.84,1.2822948997,-1.201679435,-6.5797411351
3.85,1.2942826987,-1.2167749122,-6.580136576
3.86,1.2982786317,-1.2171721616,-6.5876499531
3.87,1.3022745647,-1.2088299242,-6.6097946435
3.88,1.3058709044,-1.1988986892,-6.6362891838
3.89,1.3062704977,-1.1953234446,-6.6548749061
3.90,1.3070696843,-1.1961179434,-6.6706925421
3.91,1.3118648039,-1.1917482,-6.6971870824
3.92,1.3158607369,-1.177844471,-6.726449709
3.93,1.3166599235,-1.1675159866,-6.7533396902
3.94,1.3162603302,-1.1683104854,-6.7782524669
3.95,1.3130635838,-1.1714884806,-6.7956518665
