2022.05.23 11:02:00,,,
GOSHO,,,
G1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
1.17,-1.535669184,-2.3011215924,-6.9303463662
1.18,-1.565124736,-2.3159133747,-6.9446308314
1.19,-1.579852512,-2.3323042686,-6.9608992501
1.20,-1.561940352,-2.3359022697,-6.9791516223
1.21,-1.527708224,-2.3291060454,-6.9890713898
1.22,-1.506213632,-2.3179122642,-6.9958168317
1.23,-1.497456576,-2.31871182,-7.0069269713
1.24,-1.5026312,-2.3211104874,-6.9997847387
1.25,-1.52054336,-2.3219100432,-6.9763740874
1.26,-1.531290656,-2.3235091548,-6.9616928315
1.27,-1.541241856,-2.3207107095,-6.9474083663
1.28,-1.551591104,-2.3131149294,-6.9323303197
1.29,-1.547212576,-2.3011215924,-6.9442340407
1.30,-1.545620384,-2.2839311427,-6.9672479013
1.31,-1.567114976,-2.2711382499,-6.9731997618
1.32,-1.581046656,-2.2767351405,-6.9823259479
1.33,-1.583832992,-2.2775346963,-6.9989911573
1.34,-1.606919776,-2.2779344742,-7.0235921807
1.35,-1.618463168,-2.2899278112,-7.0477964134
1.36,-1.6021432,-2.2979233692,-7.0521611111
1.37,-1.582638848,-2.2971238134,-7.0521611111
1.38,-1.567911072,-2.2911271449,-7.0704134833
1.39,-1.541639904,-2.2843309206,-7.0843011578
1.40,-1.511786304,-2.262742914,-7.0938241346
1.41,-1.487505376,-2.2439533527,-7.1073150184
1.42,-1.481136608,-2.2319600157,-7.0910465997
1.43,-1.490291712,-2.2215657903,-7.0485899948
1.44,-1.50661168,-2.2235646798,-6.9970072038
1.45,-1.525717984,-2.2331593494,-6.9513762733
1.46,-1.547610624,-2.2319600157,-6.9212201801
1.47,-1.56432864,-2.2247640135,-6.9216169708
1.48,-1.559552064,-2.2303609041,-6.9466147849
1.49,-1.545222336,-2.2343586831,-6.9934360875
1.50,-1.539251616,-2.2383564621,-7.0521611111
1.51,-1.54044576,-2.2555469118,-7.0862851113
1.52,-1.550795008,-2.2775346963,-7.0969984602
1.53,-1.562736448,-2.3051193714,-7.0910465997
1.54,-1.57826032,-2.3303053791,-7.0644616228
1.55,-1.597764672,-2.3434980498,-7.0362894831
1.56,-1.61010416,-2.3359022697,-7.0029590643
1.57,-1.59816272,-2.3207107095,-6.971612599
1.58,-1.591395904,-2.2767351405,-6.9648671571
1.59,-1.607715872,-2.2203664566,-6.9759772967
1.60,-1.613288544,-2.1831871119,-6.9775644595
1.61,-1.601347104,-2.1699944412,-6.9553441803
1.62,-1.587415424,-2.1831871119,-6.9216169708
1.63,-1.570697408,-2.2015768953,-6.9124907847
1.64,-1.542834048,-2.2203664566,-6.923997715
1.65,-1.511388256,-2.2335591273,-6.9327271104
1.66,-1.483524896,-2.2407551295,-6.9608992501
1.67,-1.473175648,-2.2407551295,-6.9926425061
1.68,-1.48073856,-2.2463520201,-7.0025622736
1.69,-1.493874144,-2.2687395825,-7.0108948783
1.70,-1.513378496,-2.2883286996,-7.0227985993
1.71,-1.53646528,-2.302720704,-7.0239889714
1.72,-1.551193056,-2.3275069338,-7.0224018086
1.73,-1.550795008,-2.3590893879,-7.0243857621
1.74,-1.553581344,-2.3634869448,-7.0450188785
1.75,-1.543232096,-2.3498944962,-7.0672391577
1.76,-1.512184352,-2.330705157,-7.0640648321
1.77,-1.49467024,-2.3131149294,-7.0581129716
1.78,-1.497854624,-2.294725146,-7.0664455763
1.79,-1.504223392,-2.2819322532,-7.0739845996
1.80,-1.512980448,-2.2835313648,-7.06287446
1.81,-1.527310176,-2.2963242576,-7.0386702273
1.82,-1.540843808,-2.3099167062,-7.0362894831
1.83,-1.547212576,-2.3151138189,-7.0354959017
1.84,-1.537261376,-2.3327040465,-7.0180371109
1.85,-1.510990208,-2.3494947183,-7.0208146458
1.86,-1.491485856,-2.3462964951,-7.0489867855
1.87,-1.492281952,-2.3359022697,-7.0648584135
1.88,-1.493874144,-2.3410993824,-7.0672391577
1.89,-1.49068976,-2.3450971614,-7.0473996227
1.90,-1.498252672,-2.3291060454,-7.0216082272
1.91,-1.506213632,-2.3123153736,-7.003355855
1.92,-1.512184352,-2.3131149294,-6.98351632
1.93,-1.527708224,-2.31871182,-6.9724061804
1.94,-1.542436,-2.3111160399,-6.9712158083
1.95,-1.54442624,-2.2959244797,-6.9680414827
1.96,-1.535669184,-2.2735369173,-6.9743901339
1.97,-1.536067232,-2.258745135,-6.9851034828
1.98,-1.544824288,-2.254747356,-6.9930392968
1.99,-1.55039696,-2.2555469118,-6.9870874363
2.00,-1.550795008,-2.266740693,-6.971612599
2.01,-1.546814528,-2.2763353626,-6.9803419944
2.02,-1.546018432,-2.2779344742,-7.0061333899
2.03,-1.539649664,-2.2847306985,-7.0208146458
2.04,-1.52850432,-2.2903275891,-7.0239889714
2.05,-1.525319936,-2.27873403,-7.0386702273
2.06,-1.520941408,-2.2583453571,-7.0664455763
2.07,-1.505815584,-2.2451526864,-7.0839043671
2.08,-1.498252672,-2.2475513538,-7.0858883206
2.09,-1.494272192,-2.2431537969,-7.1005695765
2.10,-1.493078048,-2.234758461,-7.1124732975
2.11,-1.501039008,-2.2367573505,-7.1140604603
2.12,-1.512184352,-2.2487506875,-7.122393065
2.13,-1.526912128,-2.2555469118,-7.1267577627
2.14,-1.539649664,-2.254747356,-7.1112829254
2.15,-1.548008672,-2.266740693,-7.090649809
2.16,-1.558755968,-2.2823320311,-7.0632712507
2.17,-1.573881792,-2.2919267007,-7.0239889714
2.18,-1.5722896,-2.3079178167,-6.9668511106
2.19,-1.55636768,-2.3303053791,-6.9101100405
2.20,-1.562736448,-2.3375013813,-6.8866993892
2.21,-1.575872032,-2.3319044907,-6.8918576683
2.22,-1.569503264,-2.3327040465,-6.8930480404
2.23,-1.560746208,-2.3379011592,-6.8986031102
2.24,-1.572687648,-2.3450971614,-6.9152683196
2.25,-1.589007616,-2.3438978277,-6.9287592034
2.26,-1.601745152,-2.3367018255,-6.9224105522
2.27,-1.596968576,-2.3207107095,-6.9077292963
2.28,-1.580648608,-2.3023209261,-6.9275688313
2.29,-1.57427984,-2.2735369173,-6.9652639478
2.30,-1.55835792,-2.2571460234,-6.9890713898
2.31,-1.512980448,-2.2495502433,-7.0136724132
2.32,-1.475165888,-2.226762903,-7.0466060413
2.33,-1.457253728,-2.2007773395,-7.0839043671
2.34,-1.436157184,-2.1819877782,-7.1100925533
2.35,-1.426205984,-2.1695946633,-7.1208059022
2.36,-1.43496304,-2.1540033252,-7.1180283673
2.37,-1.444516192,-2.1536035473,-7.1100925533
2.38,-1.452477152,-2.1783897771,-7.0966016695
2.39,-1.481534656,-2.1999777837,-7.0692231112
2.40,-1.505417536,-2.2247640135,-7.0561290181
2.41,-1.50860192,-2.2303609041,-7.0529546925
2.42,-1.518951168,-2.2287617925,-7.0541450646
2.43,-1.541241856,-2.2335591273,-7.0616840879
2.44,-1.563930592,-2.2335591273,-7.0656519949
2.45,-1.580648608,-2.2407551295,-7.0513675297
2.46,-1.585823232,-2.254747356,-7.0442252971
2.47,-1.590599808,-2.2675402488,-7.054938646
2.48,-1.600949056,-2.2647418035,-7.0751749717
2.49,-1.592988096,-2.2723375836,-7.0854915299
2.50,-1.562736448,-2.2887284775,-7.070810274
2.51,-1.537261376,-2.2967240355,-7.0557322274
2.52,-1.520941408,-2.3015213703,-7.0493835762
2.53,-1.512980448,-2.298722925,-7.0315279947
2.54,-1.510194112,-2.2847306985,-7.0140692039
2.55,-1.507009728,-2.270738472,-7.0089109248
2.56,-1.499844864,-2.2631426919,-7.0136724132
2.57,-1.505417536,-2.2655413593,-6.9970072038
2.58,-1.524921888,-2.2911271449,-6.975580506
2.59,-1.535669184,-2.3207107095,-6.9688350641
2.60,-1.552785248,-2.3351027139,-6.9581217152
2.61,-1.572687648,-2.3526929415,-6.9418532965
2.62,-1.577862272,-2.366685168,-6.9351078546
2.63,-1.589405664,-2.3726818365,-6.9303463662
2.64,-1.61408464,-2.3726818365,-6.9212201801
2.65,-1.621647552,-2.3766796155,-6.9009838544
2.66,-1.613686592,-2.3758800597,-6.8759860403
2.67,-1.61806512,-2.3662853901,-6.860511203
2.68,-1.625628032,-2.3530927194,-6.8589240402
2.69,-1.61607488,-2.3371016034,-6.8577336681
2.70,-1.595774432,-2.3163131526,-6.8783667845
2.71,-1.5822408,-2.2983231471,-6.9021742265
2.72,-1.575075936,-2.2779344742,-6.9152683196
2.73,-1.563930592,-2.2715380278,-6.9382821802
2.74,-1.561940352,-2.2643420256,-6.9616928315
2.75,-1.569105216,-2.2459522422,-6.9815323665
2.76,-1.559552064,-2.2239644577,-7.0097045062
2.77,-1.54044576,-2.2087728975,-7.0422413436
2.78,-1.537659424,-2.2003775616,-7.0799364601
2.79,-1.534076992,-2.1935813373,-7.1021567393
2.80,-1.50661168,-2.214769566,-7.1001727858
2.81,-1.48670928,-2.2455524643,-7.0831107857
2.82,-1.495864384,-2.2771349184,-7.0751749717
2.83,-1.500242912,-2.3099167062,-7.0735878089
2.84,-1.501835104,-2.3303053791,-7.0755717624
2.85,-1.525319936,-2.3582898321,-7.0942209253
2.86,-1.546018432,-2.3794780608,-7.1152508324
2.87,-1.546814528,-2.3962687326,-7.1156476231
2.88,-1.555173536,-2.4030649569,-7.1017599486
2.89,-1.589803712,-2.3958689547,-7.0993792044
2.90,-1.6319968,-2.3718822807,-7.1009663672
2.91,-1.65388944,-2.3498944962,-7.0731910182
2.92,-1.657471872,-2.338700715,-7.0370830645
2.93,-1.659462112,-2.3299056012,-7.0279568784
2.94,-1.648316768,-2.3131149294,-7.0370830645
2.95,-1.623239744,-2.3091171504,-7.027163297
2.96,-1.604531488,-2.3131149294,-7.0089109248
2.97,-1.586619328,-2.3151138189,-6.9985943666
2.98,-1.569901312,-2.3091171504,-6.9847066921
2.99,-1.559154016,-2.3043198156,-6.9628832036
3.00,-1.543232096,-2.3007218145,-6.9704222269
3.01,-1.513776544,-2.2815324753,-7.0013719015
3.02,-1.481534656,-2.266740693,-7.0251793435
3.03,-1.455661536,-2.2727373615,-7.0343055296
3.04,-1.440137664,-2.2851304764,-7.0315279947
3.05,-1.442525952,-2.2795335858,-7.0335119482
3.06,-1.44889472,-2.2755358068,-7.0374798552
3.07,-1.449690816,-2.2851304764,-7.0247825528
3.08,-1.455661536,-2.286729588,-7.011291669
3.09,-1.468001024,-2.2799333637,-6.9989911573
3.10,-1.473971744,-2.2763353626,-6.9882778084
3.11,-1.47078736,-2.2755358068,-6.9664543199
3.12,-1.46680688,-2.2675402488,-6.9624864129
3.13,-1.479942464,-2.2499500212,-6.9851034828
3.14,-1.50462144,-2.2311604599,-6.9997847387
3.15,-1.51457264,-2.2419544632,-6.9886745991
3.16,-1.515766784,-2.2575458013,-6.9644703664
3.17,-1.53049456,-2.2699389162,-6.9426468779
3.18,-1.549600864,-2.2939255902,-6.9132843661
3.19,-1.546018432,-2.3171127084,-6.8787635752
3.20,-1.535669184,-2.3259078222,-6.8664630635
3.21,-1.527310176,-2.3127151515,-6.8938416218
3.22,-1.518155072,-2.3071182609,-6.9275688313
3.23,-1.517757024,-2.3151138189,-6.9501859012
3.24,-1.521737504,-2.3283064896,-6.9601056687
3.25,-1.51855312,-2.3335036023,-6.9684382734
3.26,-1.509796064,-2.3291060454,-6.9843099014
3.27,-1.504223392,-2.3287062675,-6.9997847387
