2022.05.23 11:02:00,,,
GOSHO,,,
T1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
1.16,-2.0976789456,-2.4981645419,-8.008947114
1.17,-2.1123452572,-2.5238943304,-8.0179222545
1.18,-2.1392995596,-2.5306236597,-8.0467987935
1.19,-2.16030806,-2.5199359014,-8.0725535445
1.20,-2.1757671452,-2.5116232005,-8.0748948855
1.21,-2.184091268,-2.5084564573,-8.059676169
1.22,-2.1888479096,-2.5048938712,-8.0452378995
1.23,-2.1943973248,-2.505685557,-8.03079963
1.24,-2.2312612972,-2.5143941008,-7.9984110795
1.25,-2.273278298,-2.5223109588,-7.9703149875
1.26,-2.2934940248,-2.5282486023,-7.973826999
1.27,-2.2966651192,-2.5286444452,-7.980851022
1.28,-2.2974578928,-2.5223109588,-7.9718758815
1.29,-2.2895301568,-2.5120190434,-7.9664127525
1.30,-2.273278298,-2.4914352126,-7.966022529
1.31,-2.245531222,-2.4676846386,-7.9469015775
1.32,-2.22967575,-2.4538301371,-7.9250490615
1.33,-2.2447384484,-2.4474966507,-7.925439285
1.34,-2.2605939204,-2.4391839498,-7.951974483
1.35,-2.2558372788,-2.4387881069,-7.9906066095
1.36,-2.2617830808,-2.4474966507,-8.027677842
1.37,-2.2590083732,-2.4617469951,-8.0553837105
1.38,-2.233639618,-2.4831225117,-8.0889429315
1.39,-2.2106491836,-2.4965811703,-8.129135952
1.40,-2.2043069948,-2.4918310555,-8.159573385
1.41,-2.1995503532,-2.4878726265,-8.158792938
1.42,-2.1943973248,-2.4787682398,-8.1357697515
1.43,-2.192019004,-2.4823308259,-8.0905038255
1.44,-2.184091268,-2.5155816295,-8.0233853835
1.45,-2.1825057208,-2.549228276,-7.94495046
1.46,-2.1983611928,-2.5575409769,-7.89031917
1.47,-2.2102527968,-2.5698121068,-7.8766613475
1.48,-2.2090636364,-2.5880208802,-7.909049898
1.49,-2.1975684192,-2.5666453636,-7.987875045
1.50,-2.1928117776,-2.5029146567,-8.0725535445
1.51,-2.1936045512,-2.4455174362,-8.1139172355
1.52,-2.2090636364,-2.4269128199,-8.103381201
1.53,-2.2372070992,-2.4471008078,-8.0553837105
1.54,-2.2498914768,-2.4787682398,-8.014410243
1.55,-2.2538553448,-2.5041021854,-7.994118621
1.56,-2.281206034,-2.5128107292,-7.9749976695
1.57,-2.312916978,-2.497768699,-7.9601691765
1.58,-2.3263941292,-2.4649137383,-7.955096271
1.59,-2.316880846,-2.4209751764,-7.9617300705
1.60,-2.3117278176,-2.3714948139,-7.980070575
1.61,-2.3156916856,-2.3406190677,-7.9788999045
1.62,-2.3053856288,-2.3485359257,-7.94495046
1.63,-2.277242166,-2.386932687,-7.91373258
1.64,-2.237603486,-2.4328504634,-7.9156836975
1.65,-2.1963792588,-2.4613511522,-7.958218059
1.66,-2.1607044468,-2.4629345238,-8.0179222545
1.67,-2.1476236824,-2.4478924936,-8.0725535445
1.68,-2.1507947768,-2.4427465359,-8.0951865075
1.69,-2.1488128428,-2.4597677806,-8.0873820375
1.70,-2.1353356916,-2.477976554,-8.0850406965
1.71,-2.1262187952,-2.4815391401,-8.099478966
1.72,-2.12066938,-2.477976554,-8.122892376
1.73,-2.116705512,-2.4973728561,-8.122111929
1.74,-2.1210657668,-2.5357696174,-8.1076736595
1.75,-2.1321645972,-2.5591243485,-8.0936256135
1.76,-2.1531730976,-2.5638744633,-8.0655295215
1.77,-2.184091268,-2.5626869346,-8.03079963
1.78,-2.2126311176,-2.5519991763,-7.994899068
1.79,-2.2201624668,-2.5286444452,-7.9765585635
1.80,-2.2241263348,-2.5104356718,-7.983192363
1.81,-2.2245227216,-2.5037063425,-7.99177728
1.82,-2.2154058252,-2.4926227413,-8.012068902
1.83,-2.2007395136,-2.4878726265,-8.0428965585
1.84,-2.1836948812,-2.5112273576,-8.056554381
1.85,-2.1773526924,-2.5468532186,-8.0709926505
1.86,-2.192019004,-2.5563534482,-8.09323539
1.87,-2.1947937116,-2.5409155751,-8.111185671
1.88,-2.1892442964,-2.5322070313,-8.1092345535
1.89,-2.2007395136,-2.5365613032,-8.07762645
1.90,-2.2043069948,-2.5409155751,-8.0405552175
1.91,-2.1864695888,-2.5543742337,-8.0023133145
1.92,-2.162289994,-2.5749580645,-7.973046552
1.93,-2.1519839372,-2.5828749225,-7.959778953
1.94,-2.156344192,-2.5666453636,-7.9500233655
1.95,-2.182109334,-2.5460615328,-7.9429993425
1.96,-2.2090636364,-2.5424989467,-7.946511354
1.97,-2.2185769196,-2.5405197322,-7.956657165
1.98,-2.2189733064,-2.5238943304,-7.9726563285
1.99,-2.2229371744,-2.5037063425,-7.989435939
2.00,-2.2304685236,-2.4878726265,-7.993338174
2.01,-2.237603486,-2.4752056537,-7.9937283975
2.02,-2.2320540708,-2.4637262096,-8.0163613605
2.03,-2.2233335612,-2.4589760948,-8.047189017
2.04,-2.2261082688,-2.466101267,-8.058115275
2.05,-2.2229371744,-2.4684763244,-8.0631881805
2.06,-2.2070817024,-2.4566010374,-8.0912842725
2.07,-2.2031178344,-2.4415590072,-8.113527012
2.08,-2.1983611928,-2.4217668622,-8.1232825995
2.09,-2.1896406832,-2.3980162882,-8.1225021525
2.10,-2.1872623624,-2.3774324574,-8.123672823
2.11,-2.1714068904,-2.3825784151,-8.1318675165
2.12,-2.1527767108,-2.4182042761,-8.136159975
2.13,-2.1575333524,-2.4439340646,-8.150208021
2.14,-2.1856768152,-2.4419548501,-8.17128009
2.15,-2.21976608,-2.4391839498,-8.167377855
2.16,-2.2526661844,-2.4573927232,-8.120551035
2.17,-2.271296364,-2.4910393697,-8.0460183465
2.18,-2.2780349396,-2.5322070313,-7.9773390105
2.19,-2.2689180432,-2.5749580645,-7.927780626
2.20,-2.2487023164,-2.592770995,-7.898904087
2.21,-2.2241263348,-2.5773331219,-7.8953920755
2.22,-2.2146130516,-2.5508116476,-7.9070987805
2.23,-2.2134238912,-2.5270610736,-7.9156836975
2.24,-2.2146130516,-2.5112273576,-7.9203663795
2.25,-2.2272974292,-2.5088523002,-7.923097944
2.26,-2.2518734108,-2.5207275872,-7.9211468265
2.27,-2.265350562,-2.5385405177,-7.907489004
2.28,-2.2689180432,-2.541311418,-7.907489004
2.29,-2.2582155996,-2.5258735449,-7.9422188955
2.30,-2.2304685236,-2.5120190434,-8.001142644
2.31,-2.1955864852,-2.5001437564,-8.063578404
2.32,-2.1607044468,-2.4704555389,-8.1201608115
2.33,-2.1329573708,-2.4443299075,-8.162695173
