2011.02.17 13:56:52,,,
MIHARU,,,
T1,,,
,N102W,N12W,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,12,27,-73
0.02,21,21,-74
0.03,21,14,-71
0.04,12,16,-68
0.05,11,13,-77
0.06,9,9,-85
0.07,7,12,-85
0.08,10,24,-87
0.09,15,19,-81
0.10,12,7,-75
0.11,2,9,-73
0.12,14,14,-71
0.13,12,12,-69
0.14,8,13,-77
0.15,16,17,-81
0.16,16,14,-70
0.17,14,7,-70
0.18,15,15,-78
0.19,22,17,-83
0.20,25,13,-81
0.21,20,9,-81
0.22,16,5,-88
0.23,11,5,-80
0.24,13,11,-78
0.25,19,21,-91
0.26,21,20,-89
0.27,18,9,-69
0.28,9,7,-67
0.29,3,12,-87
0.30,11,12,-95
0.31,17,6,-80
0.32,14,5,-75
0.33,7,8,-89
0.34,2,11,-86
0.35,12,11,-73
0.36,25,10,-82
0.37,21,5,-90
0.38,15,-4,-85
0.39,11,3,-77
0.40,13,21,-82
0.41,11,25,-88
0.42,6,18,-84
0.43,10,15,-76
0.44,18,14,-76
0.45,24,11,-76
0.46,25,7,-75
0.47,10,5,-88
0.48,5,14,-95
0.49,13,14,-86
0.50,7,8,-72
0.51,7,6,-73
0.52,19,7,-80
0.53,11,13,-78
0.54,1,16,-77
0.55,0,2,-84
0.56,3,3,-83
0.57,10,15,-92
0.58,8,12,-93
0.59,1,12,-75
0.60,8,18,-71
0.61,20,23,-80
0.62,15,25,-88
0.63,15,20,-84
0.64,30,13,-75
0.65,27,13,-69
0.66,11,16,-66
0.67,8,14,-74
0.68,18,8,-82
0.69,19,8,-89
0.70,4,17,-91
0.71,3,11,-86
0.72,23,1,-92
0.73,24,7,-98
0.74,16,13,-97
0.75,25,11,-81
0.76,24,12,-72
0.77,20,8,-82
0.78,25,1,-93
0.79,30,1,-100
0.80,24,7,-99
0.81,13,17,-94
0.82,4,14,-89
0.83,3,8,-84
0.84,10,8,-80
0.85,14,8,-85
0.86,8,8,-89
0.87,1,12,-86
0.88,11,11,-94
0.89,18,12,-94
0.90,8,16,-75
0.91,10,14,-72
0.92,23,11,-83
0.93,14,13,-84
0.94,0,14,-78
0.95,3,16,-74
0.96,16,14,-72
0.97,21,9,-75
0.98,20,-4,-76
