2011.02.01 02:20:08,,,
MIHARU,,,
T1,,,
,N102W,N12W,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,-5819,-6457,-6216
0.02,-5818,-6458,-6204
0.03,-5816,-6459,-6208
0.04,-5819,-6467,-6227
0.05,-5827,-6468,-6231
0.06,-5821,-6463,-6232
0.07,-5803,-6450,-6221
0.08,-5801,-6441,-6201
0.09,-5809,-6454,-6210
0.10,-5817,-6468,-6228
0.11,-5808,-6454,-6218
0.12,-5795,-6435,-6203
0.13,-5792,-6431,-6193
0.14,-5789,-6441,-6191
0.15,-5803,-6453,-6215
0.16,-5786,-6427,-6198
0.17,-5782,-6411,-6178
0.18,-5816,-6442,-6198
0.19,-5822,-6458,-6210
0.20,-5799,-6445,-6208
0.21,-5805,-6451,-6219
0.22,-5827,-6470,-6231
0.23,-5812,-6462,-6208
0.24,-5793,-6438,-6202
0.25,-5805,-6440,-6223
0.26,-5813,-6447,-6218
0.27,-5807,-6446,-6205
0.28,-5800,-6451,-6215
0.29,-5801,-6449,-6210
0.30,-5809,-6438,-6199
0.31,-5811,-6447,-6210
0.32,-5799,-6454,-6214
0.33,-5801,-6445,-6214
0.34,-5813,-6447,-6226
0.35,-5815,-6460,-6226
0.36,-5811,-6460,-6208
0.37,-5807,-6450,-6206
0.38,-5807,-6456,-6213
0.39,-5802,-6455,-6205
0.40,-5798,-6443,-6206
0.41,-5801,-6442,-6219
0.42,-5804,-6450,-6226
0.43,-5795,-6454,-6209
0.44,-5792,-6453,-6196
0.45,-5795,-6441,-6200
0.46,-5799,-6435,-6210
0.47,-5804,-6456,-6216
0.48,-5808,-6463,-6214
0.49,-5803,-6448,-6210
0.50,-5800,-6441,-6219
0.51,-5811,-6448,-6225
0.52,-5811,-6453,-6206
0.53,-5809,-6448,-6193
0.54,-5814,-6431,-6208
0.55,-5809,-6429,-6214
0.56,-5809,-6447,-6209
0.57,-5811,-6462,-6214
0.58,-5807,-6452,-6222
0.59,-5810,-6441,-6220
0.60,-5819,-6442,-6206
0.61,-5815,-6443,-6214
0.62,-5805,-6440,-6247
0.63,-5811,-6439,-6256
0.64,-5815,-6453,-6246
0.65,-5814,-6457,-6253
0.66,-5804,-6441,-6261
0.67,-5814,-6456,-6269
0.68,-5829,-6482,-6278
0.69,-5813,-6474,-6260
0.70,-5802,-6460,-6227
0.71,-5814,-6454,-6236
0.72,-5826,-6451,-6274
0.73,-5817,-6451,-6276
0.74,-5803,-6449,-6243
0.75,-5804,-6444,-6234
0.76,-5815,-6447,-6243
0.77,-5807,-6451,-6240
0.78,-5791,-6436,-6238
0.79,-5806,-6434,-6242
0.80,-5826,-6454,-6257
0.81,-5813,-6467,-6255
0.82,-5795,-6451,-6246
0.83,-5798,-6436,-6245
0.84,-5802,-6436,-6245
0.85,-5815,-6450,-6244
0.86,-5823,-6461,-6245
0.87,-5809,-6454,-6246
0.88,-5811,-6437,-6251
0.89,-5813,-6438,-6253
0.90,-5806,-6455,-6266
0.91,-5793,-6447,-6265
0.92,-5794,-6428,-6249
0.93,-5819,-6446,-6257
0.94,-5826,-6466,-6269
0.95,-5809,-6462,-6267
0.96,-5804,-6452,-6253
0.97,-5819,-6457,-6251
0.98,-5821,-6468,-6254
0.99,-5801,-6461,-6228
1.00,-5809,-6450,-6231
1.01,-5820,-6440,-6253
1.02,-5806,-6447,-6246
1.03,-5793,-6449,-6238
1.04,-5794,-6437,-6241
1.05,-5800,-6436,-6248
1.06,-5803,-6443,-6253
1.07,-5805,-6444,-6251
1.08,-5815,-6448,-6251
1.09,-5815,-6454,-6250
1.10,-5806,-6445,-6247
1.11,-5813,-6440,-6244
1.12,-5820,-6450,-6244
1.13,-5811,-6461,-6244
1.14,-5808,-6458,-6251
1.15,-5811,-6441,-6262
1.16,-5801,-6443,-6254
1.17,-5796,-6446,-6237
1.18,-5808,-6442,-6254
1.19,-5814,-6449,-6267
1.20,-5807,-6452,-6237
1.21,-5800,-6435,-6228
1.22,-5801,-6429,-6233
1.23,-5804,-6438,-6237
1.24,-5803,-6446,-6251
1.25,-5802,-6447,-6251
1.26,-5809,-6453,-6251
1.27,-5808,-6438,-6247
1.28,-5804,-6434,-6233
1.29,-5800,-6450,-6228
1.30,-5798,-6447,-6244
1.31,-5795,-6443,-6244
1.32,-5804,-6451,-6233
1.33,-5819,-6450,-6236
1.34,-5813,-6437,-6237
1.35,-5802,-6444,-6243
1.36,-5807,-6464,-6252
1.37,-5817,-6467,-6247
1.38,-5808,-6449,-6230
1.39,-5794,-6435,-6230
1.40,-5802,-6448,-6244
1.41,-5820,-6456,-6257
1.42,-5802,-6446,-6246
1.43,-5785,-6437,-6240
1.44,-5806,-6435,-6245
1.45,-5820,-6449,-6247
1.46,-5817,-6453,-6255
1.47,-5810,-6443,-6254
1.48,-5804,-6443,-6247
1.49,-5799,-6443,-6242
1.50,-5795,-6442,-6235
1.51,-5791,-6437,-6233
1.52,-5790,-6430,-6238
1.53,-5802,-6434,-6243
1.54,-5811,-6451,-6251
1.55,-5804,-6462,-6248
1.56,-5808,-6466,-6251
1.57,-5815,-6465,-6253
1.58,-5815,-6454,-6256
1.59,-5822,-6444,-6259
1.60,-5815,-6443,-6256
1.61,-5812,-6450,-6259
1.62,-5823,-6462,-6270
1.63,-5816,-6464,-6278
1.64,-5803,-6458,-6270
1.65,-5800,-6446,-6257
1.66,-5799,-6429,-6242
1.67,-5808,-6437,-6241
1.68,-5818,-6450,-6247
1.69,-5817,-6443,-6248
1.70,-5813,-6444,-6247
1.71,-5805,-6455,-6245
1.72,-5799,-6447,-6239
1.73,-5803,-6442,-6245
1.74,-5798,-6440,-6255
1.75,-5793,-6440,-6254
1.76,-5800,-6446,-6250
1.77,-5808,-6452,-6245
1.78,-5813,-6453,-6248
1.79,-5816,-6453,-6252
1.80,-5808,-6445,-6238
1.81,-5800,-6435,-6222
1.82,-5806,-6454,-6238
1.83,-5808,-6465,-6250
1.84,-5797,-6452,-6239
1.85,-5801,-6454,-6241
1.86,-5819,-6455,-6247
1.87,-5817,-6448,-6243
1.88,-5801,-6450,-6231
1.89,-5797,-6461,-6231
1.90,-5797,-6459,-6239
1.91,-5796,-6455,-6245
1.92,-5794,-6452,-6244
1.93,-5797,-6455,-6243
1.94,-5807,-6449,-6247
1.95,-5817,-6451,-6258
1.96,-5813,-6456,-6257
1.97,-5799,-6448,-6241
1.98,-5804,-6443,-6240
1.99,-5807,-6448,-6248
2.00,-5802,-6449,-6249
2.01,-5802,-6447,-6254
2.02,-5810,-6454,-6256
2.03,-5808,-6448,-6252
2.04,-5801,-6440,-6250
2.05,-5795,-6448,-6238
2.06,-5797,-6442,-6227
2.07,-5800,-6442,-6236
2.08,-5804,-6451,-6250
2.09,-5810,-6457,-6254
2.10,-5812,-6460,-6255
2.11,-5801,-6451,-6250
2.12,-5786,-6431,-6231
2.13,-5799,-6439,-6242
2.14,-5811,-6457,-6248
2.15,-5800,-6449,-6246
2.16,-5784,-6426,-6245
2.17,-5792,-6436,-6243
2.18,-5814,-6461,-6254
2.19,-5811,-6449,-6255
2.20,-5790,-6427,-6244
2.21,-5796,-6443,-6260
2.22,-5806,-6455,-6262
2.23,-5802,-6447,-6241
2.24,-5806,-6446,-6238
2.25,-5809,-6449,-6246
2.26,-5809,-6443,-6251
2.27,-5804,-6439,-6252
2.28,-5811,-6448,-6263
2.29,-5813,-6454,-6261
2.30,-5809,-6458,-6252
2.31,-5800,-6457,-6243
2.32,-5798,-6445,-6238
2.33,-5801,-6428,-6244
2.34,-5816,-6433,-6259
2.35,-5817,-6450,-6258
2.36,-5814,-6454,-6248
2.37,-5812,-6450,-6260
2.38,-5801,-6439,-6263
2.39,-5798,-6433,-6251
2.40,-5810,-6445,-6260
2.41,-5814,-6439,-6258
2.42,-5807,-6429,-6247
2.43,-5796,-6441,-6241
2.44,-5799,-6442,-6237
2.45,-5808,-6430,-6247
2.46,-5810,-6437,-6257
2.47,-5811,-6453,-6247
2.48,-5816,-6464,-6248
2.49,-5819,-6456,-6256
2.50,-5820,-6448,-6249
2.51,-5815,-6449,-6237
2.52,-5814,-6445,-6241
2.53,-5807,-6439,-6249
2.54,-5804,-6445,-6249
2.55,-5793,-6442,-6232
2.56,-5796,-6442,-6233
2.57,-5814,-6450,-6268
2.58,-5816,-6451,-6278
2.59,-5797,-6449,-6251
2.60,-5790,-6455,-6239
2.61,-5793,-6444,-6237
2.62,-5804,-6440,-6233
2.63,-5811,-6459,-6239
2.64,-5809,-6461,-6248
2.65,-5801,-6444,-6254
2.66,-5806,-6440,-6259
2.67,-5820,-6451,-6259
2.68,-5812,-6455,-6254
2.69,-5793,-6447,-6237
2.70,-5797,-6438,-6239
2.71,-5814,-6441,-6261
2.72,-5813,-6441,-6255
2.73,-5797,-6436,-6218
2.74,-5793,-6443,-6227
2.75,-5805,-6450,-6250
2.76,-5812,-6446,-6244
2.77,-5806,-6451,-6247
2.78,-5800,-6459,-6257
2.79,-5804,-6446,-6245
2.80,-5818,-6442,-6237
2.81,-5816,-6446,-6243
2.82,-5809,-6445,-6247
2.83,-5802,-6441,-6245
2.84,-5799,-6447,-6255
2.85,-5806,-6463,-6257
2.86,-5811,-6459,-6252
2.87,-5805,-6443,-6258
2.88,-5793,-6450,-6255
2.89,-5803,-6464,-6242
2.90,-5814,-6449,-6239
2.91,-5800,-6432,-6244
2.92,-5795,-6439,-6243
2.93,-5811,-6450,-6242
2.94,-5821,-6451,-6249
2.95,-5814,-6459,-6270
2.96,-5813,-6461,-6279
2.97,-5813,-6460,-6260
2.98,-5805,-6455,-6256
2.99,-5799,-6447,-6263
3.00,-5812,-6447,-6254
3.01,-5816,-6449,-6248
3.02,-5803,-6447,-6244
3.03,-5787,-6447,-6243
3.04,-5802,-6456,-6261
3.05,-5818,-6446,-6269
3.06,-5816,-6447,-6256
3.07,-5824,-6464,-6254
3.08,-5812,-6455,-6247
3.09,-5801,-6442,-6232
3.10,-5811,-6443,-6243
3.11,-5807,-6439,-6239
3.12,-5797,-6444,-6236
3.13,-5799,-6445,-6255
3.14,-5818,-6447,-6266
3.15,-5823,-6456,-6254
3.16,-5809,-6460,-6251
3.17,-5800,-6451,-6251
3.18,-5800,-6448,-6251
3.19,-5803,-6448,-6254
3.20,-5807,-6440,-6258
3.21,-5806,-6439,-6251
3.22,-5806,-6451,-6242
3.23,-5812,-6463,-6256
3.24,-5818,-6457,-6266
3.25,-5808,-6445,-6252
3.26,-5798,-6432,-6240
3.27,-5805,-6441,-6247
3.28,-5805,-6454,-6244
3.29,-5798,-6446,-6255
3.30,-5806,-6437,-6276
3.31,-5809,-6441,-6266
3.32,-5803,-6450,-6242
3.33,-5805,-6445,-6228
3.34,-5797,-6436,-6232
3.35,-5797,-6441,-6252
3.36,-5792,-6440,-6246
3.37,-5792,-6438,-6233
3.38,-5808,-6447,-6239
3.39,-5814,-6446,-6250
3.40,-5803,-6447,-6244
3.41,-5800,-6447,-6236
3.42,-5808,-6452,-6258
3.43,-5812,-6457,-6269
3.44,-5794,-6445,-6257
3.45,-5796,-6447,-6252
3.46,-5810,-6447,-6240
3.47,-5812,-6436,-6228
3.48,-5813,-6448,-6241
3.49,-5807,-6452,-6257
3.50,-5800,-6442,-6258
3.51,-5804,-6447,-6246
3.52,-5813,-6447,-6238
3.53,-5815,-6441,-6246
3.54,-5820,-6449,-6266
3.55,-5822,-6456,-6274
3.56,-5818,-6456,-6266
3.57,-5805,-6448,-6246
