2011.02.24 17:03:26,,,
MIHARU,,,
T1,,,
,N102W,N12W,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,-146,-86,-220
0.02,-140,-84,-214
0.03,-147,-86,-219
0.04,-154,-90,-241
0.05,-143,-96,-236
0.06,-130,-91,-210
0.07,-127,-87,-212
0.08,-134,-94,-221
0.09,-138,-101,-216
0.10,-142,-96,-205
0.11,-145,-94,-209
0.12,-138,-99,-220
0.13,-134,-92,-219
0.14,-140,-91,-213
0.15,-143,-96,-219
0.16,-138,-99,-220
0.17,-136,-97,-213
0.18,-140,-88,-229
0.19,-139,-81,-241
0.20,-142,-91,-233
0.21,-148,-93,-221
0.22,-142,-86,-220
0.23,-135,-94,-234
0.24,-140,-99,-228
0.25,-138,-93,-210
0.26,-139,-92,-209
0.27,-148,-88,-217
0.28,-152,-86,-216
0.29,-147,-91,-215
0.30,-148,-89,-214
0.31,-143,-89,-217
0.32,-134,-94,-220
0.33,-133,-94,-212
0.34,-140,-90,-212
0.35,-145,-88,-213
0.36,-144,-85,-215
0.37,-137,-82,-217
0.38,-143,-91,-224
0.39,-155,-97,-224
0.40,-151,-88,-220
0.41,-141,-83,-218
0.42,-139,-88,-210
0.43,-139,-88,-212
0.44,-141,-86,-219
0.45,-147,-89,-216
0.46,-145,-96,-214
0.47,-142,-96,-214
0.48,-144,-90,-206
0.49,-140,-87,-204
0.50,-131,-91,-219
0.51,-131,-93,-223
0.52,-137,-89,-215
0.53,-145,-84,-212
0.54,-159,-87,-207
0.55,-152,-96,-213
0.56,-139,-101,-222
0.57,-137,-98,-211
0.58,-135,-94,-210
0.59,-133,-90,-225
0.60,-135,-89,-226
0.61,-138,-93,-223
0.62,-143,-93,-214
0.63,-144,-93,-201
0.64,-133,-101,-196
0.65,-122,-106,-209
0.66,-133,-86,-222
0.67,-150,-79,-235
0.68,-140,-95,-224
0.69,-134,-101,-211
0.70,-150,-91,-220
0.71,-153,-89,-217
0.72,-134,-95,-210
0.73,-126,-89,-220
0.74,-135,-88,-226
0.75,-138,-94,-218
0.76,-137,-85,-213
0.77,-143,-84,-211
0.78,-140,-93,-213
0.79,-128,-95,-224
0.80,-135,-98,-226
0.81,-143,-97,-217
0.82,-135,-89,-213
0.83,-139,-94,-215
0.84,-140,-101,-223
0.85,-132,-87,-220
0.86,-134,-83,-207
0.87,-142,-95,-212
0.88,-146,-97,-223
0.89,-148,-86,-222
