2011.02.07 16:47:38,,,
MIHARU,,,
T1,,,
,N102W,N12W,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,110,12,-42
0.02,124,2,-39
0.03,145,9,-52
0.04,155,17,-51
0.05,143,10,-42
0.06,111,8,-53
0.07,101,11,-56
0.08,123,8,-55
0.09,145,17,-55
0.10,142,35,-42
0.11,125,34,-38
0.12,118,6,-46
0.13,126,-14,-53
0.14,154,0,-51
0.15,161,25,-46
0.16,135,30,-45
0.17,116,16,-39
0.18,117,1,-41
0.19,131,8,-38
0.20,135,23,-28
0.21,123,26,-41
0.22,118,32,-47
0.23,121,30,-45
0.24,130,11,-47
0.25,142,8,-43
0.26,135,15,-42
0.27,130,15,-38
0.28,142,19,-32
0.29,141,26,-33
0.30,138,16,-45
0.31,125,4,-53
0.32,100,10,-47
0.33,104,15,-33
0.34,146,17,-39
0.35,165,22,-60
0.36,150,20,-54
0.37,123,1,-34
0.38,112,-7,-35
0.39,143,2,-43
0.40,159,4,-43
0.41,140,24,-47
0.42,109,40,-45
0.43,80,31,-52
0.44,104,14,-52
0.45,147,-8,-33
0.46,155,-4,-36
0.47,141,22,-37
0.48,116,21,-31
0.49,105,11,-37
0.50,136,9,-39
0.51,165,20,-45
0.52,146,25,-47
0.53,118,17,-55
0.54,125,18,-62
0.55,122,17,-51
0.56,119,6,-37
0.57,127,4,-29
0.58,128,12,-41
0.59,141,5,-44
0.60,148,4,-39
0.61,140,20,-48
0.62,146,27,-25
0.63,143,16,-28
0.64,136,16,-60
0.65,142,8,-44
0.66,131,-7,-34
0.67,115,1,-42
0.68,110,17,-49
0.69,117,22,-62
0.70,136,18,-59
0.71,138,10,-45
0.72,126,15,-39
0.73,123,19,-42
0.74,153,4,-38
0.75,166,-2,-37
0.76,153,12,-37
0.77,135,20,-33
0.78,109,24,-44
0.79,104,27,-51
0.80,128,28,-41
0.81,141,8,-35
0.82,136,-7,-33
0.83,127,10,-28
0.84,120,15,-24
0.85,114,10,-27
0.86,128,12,-50
0.87,162,11,-56
0.88,164,15,-50
0.89,137,21,-67
0.90,117,17,-60
0.91,121,18,-46
0.92,140,9,-37
0.93,148,1,-46
0.94,137,12,-56
