2011.02.10 22:03:19,,,
MIHARU,,,
T1,,,
,N102W,N12W,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,2728,1110,3696
0.02,2418,872,3960
0.03,2431,1316,3604
0.04,2572,2048,2904
0.05,2303,2523,2452
0.06,1306,2306,2650
0.07,-240,1651,3415
0.08,-1315,1448,4054
0.09,-680,2169,3480
0.10,1363,3039,2293
0.11,2966,3011,1984
0.12,2980,2136,2507
0.13,2388,1161,2827
0.14,2346,360,2328
0.15,2487,-417,843
0.16,2193,-1169,-786
0.17,839,-1621,-1172
0.18,-2207,-1639,-663
0.19,-5009,-1223,-701
0.20,-5084,-433,-1194
0.21,-3208,284,-1305
0.22,-1155,636,-1216
0.23,820,720,-1019
0.24,2186,145,-1199
0.25,2695,-1495,-1539
0.26,2511,-3207,-457
0.27,815,-3333,777
0.28,-1074,-1399,522
0.29,-836,1388,272
0.30,-341,3245,755
0.31,-1065,3443,1015
0.32,-473,2422,851
0.33,1142,637,820
0.34,1081,-1151,992
0.35,663,-1719,1032
0.36,1623,-1050,1060
0.37,1497,-52,1431
0.38,-850,1260,1830
0.39,-2133,2930,1483
0.40,-780,3711,783
0.41,691,2422,436
0.42,1423,-345,255
0.43,2494,-2577,437
0.44,2175,-3538,196
0.45,-82,-3595,-305
0.46,-1683,-2045,-695
0.47,-2688,448,-877
0.48,-4014,1834,-342
0.49,-4027,1955,-7
0.50,-1994,1445,-376
0.51,568,-101,-582
0.52,2508,-2300,3
0.53,2998,-3754,793
0.54,1819,-3273,847
0.55,140,-926,589
0.56,-914,1945,1396
0.57,-1494,4180,2072
0.58,-859,5049,1833
0.59,1493,4060,1091
0.60,3599,1149,1260
0.61,3811,-2462,1058
0.62,3131,-5095,-534
0.63,2110,-5896,-695
0.64,-1448,-4240,619
0.65,-5733,326,1408
0.66,-7121,5874,2153
0.67,-5585,9417,3039
0.68,-1603,9814,4450
0.69,4921,7475,4464
0.70,11704,2638,1688
0.71,15136,-4203,-260
0.72,11923,-9590,1298
0.73,2760,-9709,4844
0.74,-5374,-3620,5207
0.75,-7571,5554,1346
0.76,-6756,12056,-409
0.77,-6053,12462,-1151
0.78,-4065,6691,-1997
0.79,-1783,-3075,-830
0.80,-446,-11581,1088
0.81,2065,-13248,2421
0.82,5528,-7286,1552
0.83,6450,2184,-955
0.84,2775,9109,-2232
0.85,-1910,9794,-1578
0.86,-3375,4765,-428
0.87,-1929,-2452,658
0.88,-901,-7255,1444
0.89,-186,-7710,464
0.90,1757,-5003,-2473
0.91,1382,-1611,-1696
0.92,-3811,1427,4253
0.93,-8709,5650,5843
0.94,-4753,9761,402
0.95,6506,8684,-3818
0.96,12354,2023,-664
0.97,7729,-5140,5108
0.98,2715,-8057,6888
0.99,1811,-5562,3829
1.00,840,-38,-514
1.01,121,5776,-1864
1.02,-644,8483,-1437
1.03,-4827,5488,-417
1.04,-9542,-135,1333
1.05,-7873,-4220,1508
1.06,533,-5673,-60
1.07,9080,-4648,-2260
1.08,10856,-2406,-2544
1.09,3369,-171,163
1.10,-6587,2093,2710
1.11,-8231,3377,1266
1.12,-2281,2927,-1131
1.13,2329,1968,-1136
1.14,3433,588,393
1.15,2395,-1389,2115
1.16,-2429,-3499,1179
1.17,-4194,-4398,-359
1.18,-55,-3213,-134
1.19,1428,-826,1708
1.20,-749,2433,2209
1.21,-299,5595,1327
1.22,964,5589,465
1.23,968,1544,-1571
1.24,2761,-3385,-348
1.25,1213,-5931,3591
1.26,-3770,-4305,5375
1.27,-2731,1357,2321
1.28,2714,5946,-1020
1.29,3079,5932,-800
1.30,-112,3472,103
1.31,-578,869,3120
1.32,476,-1611,4733
1.33,3089,-2892,2468
1.34,7286,-2118,1451
1.35,6358,-52,1285
1.36,-1539,2616,559
1.37,-6448,4031,1977
1.38,-4425,3221,2531
1.39,-983,1746,122
1.40,2891,756,-1440
1.41,4076,-509,843
1.42,-1586,-1510,4081
1.43,-3749,-834,2016
1.44,4523,-658,-2995
1.45,8448,-2901,-2980
1.46,-73,-3283,1833
1.47,-7409,1261,2417
1.48,-4854,5262,-1266
1.49,-1288,3758,-1095
1.50,-2734,-374,1733
1.51,-1405,-2269,979
1.52,4110,-2267,-1110
1.53,3759,-2265,1395
1.54,-1675,104,5090
1.55,1314,3955,3310
1.56,9447,3519,-3186
1.57,6380,-788,-3769
1.58,-4041,-2737,3518
1.59,-6594,-895,4954
1.60,-2032,435,-1080
1.61,-157,-590,-4278
1.62,-1854,-657,-2022
1.63,-3546,926,1290
1.64,-2539,1055,2031
1.65,832,-73,846
1.66,3161,-364,251
1.67,4580,28,1406
1.68,5931,354,2056
1.69,5600,356,1241
1.70,3535,454,496
1.71,2922,532,685
1.72,1691,-89,885
1.73,-3509,29,492
1.74,-8300,894,-691
1.75,-7638,1187,-273
1.76,-4555,1137,821
1.77,-1558,235,-1285
1.78,3032,-2406,-2905
1.79,4228,-4462,525
1.80,-1158,-2145,4540
1.81,-3137,3990,3840
1.82,3717,7672,-81
1.83,8410,5179,-2154
1.84,5465,-94,829
1.85,740,-3675,4082
1.86,-2350,-4757,2927
