2011.02.27 00:39:06,,,
MIHARU,,,
T1,,,
,N102W,N12W,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,698,-1054,1328
0.02,-75,-1245,1460
0.03,-974,-1019,985
0.04,-1587,-314,487
0.05,-1527,696,-23
0.06,-581,1081,76
0.07,650,629,515
0.08,1334,84,745
0.09,1212,-251,1092
0.10,673,-372,1326
0.11,482,-25,1186
0.12,914,449,685
0.13,1520,431,259
0.14,1512,64,228
0.15,356,-490,878
0.16,-1299,-844,1662
0.17,-1897,-307,1407
0.18,-832,730,395
0.19,617,1169,-445
0.20,1127,951,-172
0.21,227,713,909
0.22,-578,456,1603
0.23,798,64,1629
0.24,3270,-215,1368
0.25,4497,-260,1055
0.26,3397,-185,618
0.27,380,117,326
0.28,-2509,605,318
0.29,-3439,1007,483
0.30,-2331,1135,387
0.31,-347,535,344
0.32,673,-480,1215
0.33,345,-628,1897
0.34,964,386,1252
0.35,3063,1376,350
0.36,3826,1371,535
0.37,2402,629,1411
0.38,1043,-61,1465
0.39,7,-637,900
0.40,-1343,-1049,725
0.41,-1502,-607,823
0.42,-1051,614,647
0.43,-1902,1443,486
0.44,-2534,1381,760
0.45,-996,854,828
0.46,1622,108,916
0.47,3059,-849,1365
0.48,2873,-1519,1674
0.49,2401,-1162,1566
0.50,2001,45,898
0.51,1178,1067,-47
0.52,130,1187,-253
0.53,-1377,683,529
0.54,-3326,82,1488
0.55,-3801,-206,1743
0.56,-1942,-71,779
0.57,804,19,-473
0.58,2388,-340,-78
0.59,1538,-569,1696
0.60,284,301,2788
0.61,1337,1548,1718
0.62,3685,1463,-389
0.63,4572,222,-463
0.64,2279,-775,1495
0.65,-1904,-756,2255
0.66,-4091,101,646
0.67,-2821,735,-1017
0.68,-702,502,-633
0.69,35,-181,1090
0.70,-351,-530,1876
0.71,-434,24,1410
0.72,972,1108,821
0.73,3495,1776,635
0.74,5176,1472,1001
0.75,4244,330,1523
0.76,1772,-851,1478
0.77,-76,-1285,1262
0.78,-1461,-943,1017
0.79,-2788,-176,546
0.80,-2940,733,12
0.81,-2152,1309,160
0.82,-1386,1196,1003
0.83,-85,653,1257
0.84,1900,84,672
0.85,3216,-342,720
0.86,3407,-479,1452
0.87,3224,-227,1893
0.88,2163,357,1748
0.89,-79,806,1170
0.90,-1515,759,734
0.91,-1404,332,460
0.92,-1261,-175,-7
0.93,-1264,-517,-327
0.94,-986,-744,492
0.95,-1191,-556,1502
0.96,-780,446,720
0.97,1398,1525,-177
0.98,2621,1475,514
0.99,1815,553,1703
1.00,1244,-29,1778
1.01,1275,-63,749
1.02,906,-141,118
1.03,263,-552,415
1.04,-50,-787,654
1.05,-332,-246,441
1.06,-1145,498,197
1.07,-1980,828,547
1.08,-1387,1151,858
1.09,408,1324,426
1.10,1404,725,367
1.11,1172,-197,1258
1.12,1182,-431,1725
1.13,1983,-13,697
1.14,2219,52,-269
1.15,860,-350,452
1.16,-940,-327,1581
1.17,-1595,430,1635
1.18,-1070,1276,990
1.19,148,1537,543
1.20,1318,1036,820
1.21,1204,250,1293
1.22,366,-218,1153
1.23,617,-346,1018
1.24,1471,-350,1430
1.25,1564,-100,1664
1.26,1061,488,1367
1.27,91,775,1053
1.28,-916,341,685
1.29,-479,-125,508
1.30,730,98,941
1.31,506,579,1364
1.32,-108,716,1406
1.33,561,421,1249
1.34,1352,-132,905
1.35,1497,-399,723
1.36,1260,-79,873
1.37,570,276,1043
1.38,-10,253,870
1.39,153,-11,488
1.40,234,-463,465
1.41,-636,-766,730
1.42,-1274,-379,1027
1.43,-619,360,974
1.44,266,790,569
1.45,522,743,299
1.46,522,230,508
1.47,640,-141,1073
1.48,920,46,1300
1.49,1378,254,1046
1.50,1588,79,471
1.51,1041,-229,349
1.52,-584,-247,1044
1.53,-2210,186,1495
1.54,-1812,932,1015
1.55,296,1232,240
1.56,1644,337,-108
1.57,1190,-641,-65
1.58,437,-202,572
1.59,-7,680,1304
1.60,-130,632,1068
1.61,838,253,578
1.62,1430,231,444
1.63,187,311,376
1.64,-1079,358,494
1.65,-849,345,647
1.66,389,-7,621
1.67,1388,-554,734
1.68,939,-421,1033
1.69,-69,578,933
1.70,225,1240,728
1.71,855,1044,814
1.72,659,569,1209
1.73,685,199,1493
1.74,1005,-88,744
1.75,1024,-537,303
1.76,617,-715,986
1.77,-119,-123,1571
1.78,-460,753,1153
1.79,-148,1166,297
1.80,255,960,441
1.81,581,537,1655
1.82,834,315,2160
1.83,903,43,1471
1.84,1209,-363,1053
1.85,1795,-513,1118
1.86,2033,-262,860
1.87,1014,139,664
1.88,-1001,391,578
1.89,-1865,365,591
1.90,-861,105,1069
1.91,237,-117,1368
1.92,638,30,1276
1.93,825,454,1324
1.94,680,735,1265
1.95,539,620,852
1.96,1076,221,521
1.97,1368,-150,701
1.98,637,-470,935
1.99,-250,-633,1163
2.00,-699,-64,1395
2.01,-252,1069,1043
2.02,1056,1590,458
2.03,1244,931,526
2.04,-94,-31,802
2.05,-814,-389,712
2.06,-477,-513,705
2.07,-115,-610,779
2.08,564,26,1006
2.09,1003,1234,690
2.10,40,1853,-312
2.11,-533,1235,-431
2.12,549,-183,768
2.13,1373,-1117,1780
2.14,1185,-734,1550
2.15,993,211,816
2.16,500,700,286
2.17,2,706,124
2.18,218,553,520
2.19,18,373,919
2.20,-858,158,983
2.21,-805,62,735
2.22,348,-24,692
2.23,1132,-280,980
2.24,1272,-274,1062
2.25,1305,362,722
2.26,1205,1135,199
2.27,788,1209,439
2.28,70,332,1446
2.29,-278,-546,1725
2.30,163,-560,891
2.31,554,-312,220
2.32,26,-269,429
2.33,-495,157,1242
2.34,-177,899,1805
2.35,482,1082,1345
2.36,1330,672,669
2.37,1716,229,599
2.38,1236,-162,631
2.39,947,-503,784
2.40,760,-491,1361
2.41,-63,-42,1599
2.42,-612,566,918
2.43,-575,744,-30
2.44,-863,58,-422
2.45,-1358,-831,169
2.46,-1313,-543,1086
2.47,-366,574,1225
2.48,1010,786,666
2.49,1649,-99,491
2.50,1612,-635,1206
2.51,1470,-131,1436
2.52,778,625,746
2.53,-508,991,1190
2.54,-1437,1105,2203
2.55,-782,1103,1675
2.56,1275,933,640
2.57,2517,472,202
2.58,2081,-170,408
2.59,965,-693,1380
2.60,-561,-1055,1948
2.61,-1534,-959,950
2.62,-625,-39,-238
2.63,568,1261,-204
2.64,-117,1795,678
2.65,-1268,1359,1454
2.66,-513,781,1380
2.67,2070,198,669
2.68,4330,-742,440
2.69,3746,-1351,1489
2.70,1038,-661,2297
2.71,-156,657,1112
2.72,470,1283,-363
2.73,366,878,-394
2.74,-383,56,228
2.75,-930,-536,779
2.76,-2046,-890,1019
2.77,-2586,-772,953
2.78,-808,341,542
2.79,1438,1516,-7
2.80,1785,1311,324
2.81,1198,264,1638
2.82,1397,-157,2066
2.83,2180,31,1246
2.84,2723,-6,742
2.85,2493,-229,900
2.86,1220,-190,1137
2.87,-1105,-35,886
2.88,-3219,242,280
2.89,-3392,748,-82
2.90,-2176,886,435
2.91,-1304,415,1430
2.92,-313,-89,1632
2.93,1773,57,1045
2.94,3479,786,843
2.95,3694,1372,1068
2.96,3120,1276,1144
2.97,1849,574,1721
2.98,-260,-251,1861
2.99,-1435,-813,531
3.00,-871,-804,-542
3.01,-1169,-108,46
3.02,-2774,879,1090
3.03,-2652,1436,1122
3.04,-164,1129,636
3.05,2245,246,507
3.06,3559,-364,683
3.07,3632,-241,1265
3.08,2022,198,1838
3.09,420,436,1318
3.10,551,456,364
3.11,486,472,29
3.12,-1158,355,485
3.13,-2126,18,1049
3.14,-1555,-308,930
3.15,-698,-382,359
3.16,433,-264,-201
3.17,1707,-217,94
3.18,1438,-171,983
3.19,283,222,1010
3.20,728,791,705
3.21,1691,740,1423
3.22,1199,8,1882
3.23,927,-253,1114
3.24,1628,380,463
3.25,824,754,779
3.26,-1244,520,1423
3.27,-1769,327,1160
3.28,-498,-50,350
3.29,357,-903,89
3.30,24,-1161,530
3.31,-133,8,1070
3.32,392,1272,996
3.33,1323,1219,699
3.34,2379,326,1137
3.35,2646,-238,1666
3.36,1853,45,1096
3.37,1034,565,438
3.38,289,389,763
3.39,-537,-246,1234
3.40,-954,-378,1348
3.41,-1255,88,868
3.42,-1507,527,90
3.43,-1456,474,127
3.44,-1389,-65,1228
3.45,-601,-216,1893
3.46,1687,410,901
3.47,4050,918,-103
3.48,4259,697,261
3.49,2456,14,1523
3.50,293,-522,2062
3.51,-981,-518,1201
3.52,-1056,-14,475
3.53,-1229,739,486
3.54,-2150,1441,372
3.55,-2768,1283,52
3.56,-2106,-140,241
3.57,-490,-1451,916
3.58,1203,-1093,1194
3.59,2234,584,875
3.60,2203,1826,800
3.61,1828,1881,1426
3.62,2066,1185,2190
3.63,2534,237,1938
3.64,2246,-449,739
3.65,1121,-705,-99
3.66,-353,-757,169
3.67,-2042,-621,1073
3.68,-3674,-13,1371
3.69,-4115,941,699
3.70,-2473,1894,249
3.71,445,2500,577
3.72,3041,2070,1304
3.73,4591,170,1958
3.74,4922,-2216,1883
3.75,4452,-3050,1000
3.76,3220,-1595,496
3.77,768,659,722
3.78,-2070,1895,862
3.79,-4034,1778,437
3.80,-4576,1037,-191
3.81,-3138,218,-289
3.82,-516,-447,338
3.83,1141,-706,894
3.84,1605,-678,1339
3.85,2152,-662,1400
3.86,2929,-532,718
3.87,3424,23,289
3.88,2961,822,375
3.89,1393,1200,677
3.90,-316,653,862
3.91,-1425,-416,830
3.92,-1968,-859,977
3.93,-2109,-193,991
3.94,-1970,676,400
3.95,-1381,715,-332
3.96,-82,70,-391
3.97,1329,-566,440
3.98,2319,-619,1511
3.99,2543,9,2051
4.00,1981,753,1384
4.01,1819,1233,425
4.02,1584,1218,846
4.03,-257,574,1530
4.04,-1917,-22,1255
4.05,-1275,-9,547
4.06,159,77,248
4.07,391,-156,1182
4.08,-378,-298,2389
4.09,-770,333,2004
4.10,251,1626,685
4.11,1972,2361,232
4.12,3026,1618,954
4.13,3178,-90,1821
4.14,2466,-1466,2060
