2011.02.27 00:39:06,,,
MIHARU,,,
T1,,,
,N102W,N12W,
4.15,1280,-1746,1671
4.16,174,-1035,1005
4.17,-1276,322,593
4.18,-3121,1814,773
4.19,-3948,2735,995
4.20,-2750,2436,617
4.21,-200,802,425
4.22,2395,-1199,926
4.23,4331,-2287,1059
4.24,5037,-2332,679
4.25,3749,-1910,530
4.26,899,-1013,512
4.27,-2189,476,138
4.28,-4593,1781,-485
4.29,-5483,1920,-834
4.30,-4420,974,-301
4.31,-1890,-244,435
4.32,1063,-1330,515
4.33,3193,-1917,364
4.34,3759,-1688,430
4.35,3244,-742,791
4.36,1892,221,789
4.37,216,526,267
4.38,-302,175,171
4.39,-308,-323,478
4.40,-1318,-141,702
4.41,-2617,632,878
4.42,-3105,1015,838
4.43,-2181,661,525
4.44,156,6,502
4.45,2137,-407,1176
4.46,2588,-261,1971
4.47,2504,681,2450
4.48,2656,2077,2603
4.49,3359,2888,2356
4.50,4468,2627,2160
4.51,4416,1626,2172
4.52,2502,354,1749
4.53,274,-757,1019
4.54,-1239,-1532,488
4.55,-2871,-1640,600
4.56,-4217,-434,1391
4.57,-3748,1690,1653
4.58,-1606,3396,1102
4.59,922,3759,1044
4.60,3184,2676,1210
4.61,5252,586,913
4.62,6557,-1650,956
4.63,5606,-2982,1430
4.64,2789,-2522,1451
4.65,127,-452,1063
4.66,-2414,1472,546
4.67,-5032,2133,87
4.68,-5976,2094,84
4.69,-4346,1624,84
4.70,-1260,257,-84
4.71,1556,-1707,685
4.72,3428,-2660,1907
4.73,4645,-1692,1653
4.74,4856,83,562
4.75,3243,1385,501
4.76,675,2215,1160
4.77,-1409,2452,1227
4.78,-2598,1478,402
4.79,-2346,-462,-560
4.80,-1230,-2276,-479
4.81,-1167,-2741,564
4.82,-1885,-1476,1494
4.83,-1362,653,1267
4.84,704,2304,159
4.85,3025,2732,-275
4.86,3975,1762,559
4.87,2596,127,1688
4.88,771,-971,1746
4.89,1072,-1040,858
4.90,2048,-445,220
4.91,713,-48,93
4.92,-2251,167,-36
4.93,-4453,667,9
4.94,-5041,899,424
4.95,-3334,551,770
4.96,628,49,778
4.97,3997,-540,501
4.98,4421,-1241,334
4.99,2504,-1562,818
5.00,324,-892,1656
5.01,-353,740,1609
5.02,327,2160,463
5.03,606,2070,-389
5.04,-464,655,-5
5.05,-1963,-819,1132
5.06,-2396,-1461,1850
5.07,-948,-1353,1453
5.08,1595,-1076,981
5.09,3045,-622,1160
5.10,2185,283,1320
5.11,587,1295,1070
5.12,84,1765,920
5.13,619,1431,1179
5.14,1388,961,1611
5.15,1728,750,1322
5.16,937,-54,467
5.17,-426,-1458,348
5.18,-844,-2070,1164
5.19,-175,-993,1565
5.20,463,1129,982
5.21,596,2624,615
5.22,567,2581,941
5.23,707,1447,1019
5.24,1229,-113,773
5.25,1834,-1161,778
5.26,1486,-918,1064
5.27,250,183,1240
5.28,-901,1084,808
5.29,-1480,914,142
5.30,-1124,86,242
5.31,59,-120,892
5.32,1176,675,1078
5.33,1533,1249,990
5.34,1418,577,1048
5.35,1478,-657,964
5.36,1191,-953,792
5.37,47,-57,738
5.38,-933,928,580
5.39,-1217,1191,376
5.40,-1264,564,697
5.41,-982,-135,1068
5.42,318,4,993
5.43,2077,595,1113
5.44,2633,754,1411
5.45,2148,299,1533
5.46,1493,-303,1549
5.47,472,-454,1050
5.48,-122,-91,193
5.49,362,156,272
5.50,5,40,1105
5.51,-1949,-73,1581
5.52,-2662,31,1444
5.53,-903,326,537
5.54,1027,516,22
5.55,1865,476,355
5.56,1950,314,531
5.57,1247,-76,719
5.58,328,-734,1106
5.59,233,-992,1362
5.60,456,-223,1455
5.61,-96,842,1218
5.62,-785,988,363
5.63,-796,160,-290
5.64,-776,-561,62
5.65,-861,-491,1235
5.66,-201,184,2173
5.67,1365,921,1797
5.68,3067,1232,714
5.69,3610,859,330
5.70,2389,149,980
5.71,205,-165,1853
5.72,-1420,226,1887
5.73,-1132,898,910
5.74,556,840,40
5.75,1137,-117,221
5.76,-41,-688,1248
5.77,-772,-78,1469
5.78,-160,703,619
5.79,728,764,255
5.80,1236,452,793
5.81,1288,108,1305
5.82,916,-201,1226
5.83,726,-164,652
5.84,1137,178,116
5.85,1069,583,526
5.86,-104,929,1240
5.87,-870,782,626
5.88,-691,-107,-497
5.89,-889,-1189,-350
5.90,-1430,-1532,677
5.91,-1185,-622,1252
5.92,-105,974,1130
5.93,1036,1953,657
5.94,1907,1522,439
5.95,2187,206,724
5.96,1347,-780,779
5.97,379,-935,352
5.98,377,-896,2
5.99,158,-1252,-124
6.00,-1383,-1602,-137
6.01,-2969,-887,532
6.02,-2987,1186,1222
6.03,-1363,2946,996
6.04,886,2840,500
6.05,2505,1400,513
6.06,2748,-373,1025
6.07,1986,-1866,1305
6.08,1656,-2254,1284
6.09,1835,-1549,1176
6.10,1223,-545,857
6.11,-61,744,609
6.12,-1259,2076,639
6.13,-2114,2632,901
6.14,-1905,2181,884
6.15,-49,949,597
6.16,1898,-656,847
6.17,2240,-1788,1873
6.18,2120,-1503,2462
6.19,2819,-187,1581
6.20,2890,862,684
6.21,1146,1178,938
6.22,-792,1369,1382
6.23,-1585,1631,1391
6.24,-1505,1177,1078
6.25,-752,-7,566
6.26,227,-738,918
6.27,413,-257,1985
6.28,325,1069,2074
6.29,1435,2075,1137
6.30,2976,1722,678
6.31,3252,343,1290
6.32,1829,-830,1834
6.33,-196,-910,1315
6.34,-1033,-16,669
6.35,-606,727,555
6.36,-468,735,604
6.37,-1423,496,689
6.38,-2572,467,522
6.39,-2205,475,302
6.40,-8,149,339
6.41,1894,-375,598
6.42,2030,-583,1049
6.43,1650,-544,1163
6.44,2037,-419,660
6.45,2432,80,627
6.46,1737,677,1053
6.47,117,661,1276
6.48,-1748,248,958
6.49,-2949,11,109
6.50,-2158,257,-150
6.51,-230,588,498
6.52,758,117,1029
6.53,1205,-876,1192
6.54,1869,-1340,942
6.55,1941,-1014,419
6.56,1577,-230,356
6.57,1311,554,739
6.58,531,893,900
6.59,-506,520,483
6.60,-605,-137,13
6.61,124,-167,-19
6.62,409,234,684
6.63,-370,252,1553
6.64,-966,40,1398
6.65,-134,249,671
6.66,923,662,496
6.67,1166,670,637
6.68,1283,228,728
6.69,1159,-368,1045
6.70,615,-495,1160
6.71,669,-14,802
6.72,1101,768,945
6.73,733,1653,1367
6.74,-342,2059,1146
6.75,-1166,1664,852
6.76,-1109,837,1284
6.77,-242,17,1756
6.78,994,-369,1433
6.79,1899,-394,478
6.80,1690,-703,-278
6.81,736,-699,353
6.82,-212,444,1842
6.83,-833,1816,2202
6.84,-138,2242,948
6.85,1573,1453,-211
6.86,1863,-7,66
6.87,465,-1161,955
6.88,-310,-1415,1192
6.89,-150,-876,1019
6.90,-98,15,1056
6.91,139,933,705
6.92,425,1388,410
6.93,23,921,783
6.94,-20,-102,1148
6.95,1379,-564,1040
6.96,2278,-372,489
6.97,1174,-356,282
6.98,-284,-555,676
6.99,-744,-523,746
7.00,-769,-229,540
7.01,-731,512,775
7.02,-253,1508,957
7.03,627,1739,338
7.04,1125,580,-95
7.05,748,-1397,915
7.06,282,-2515,1917
7.07,574,-1524,1052
7.08,1007,555,-35
7.09,329,1642,317
7.10,-1009,1372,1174
7.11,-957,636,1024
7.12,337,-291,544
7.13,990,-894,735
7.14,651,-631,1229
7.15,-141,82,1487
7.16,-987,597,971
7.17,-643,716,423
7.18,712,708,741
7.19,1157,661,1087
7.20,795,451,1057
7.21,882,67,1003
7.22,1155,-421,911
7.23,887,-828,899
7.24,118,-558,1095
7.25,-923,837,1109
7.26,-1249,2496,821
7.27,77,2809,455
7.28,1971,1572,177
7.29,2644,-284,866
7.30,1587,-1868,2320
7.31,180,-2032,2292
7.32,229,-597,639
7.33,1151,837,-622
7.34,777,997,-185
7.35,-943,522,1366
7.36,-1883,476,2118
7.37,-736,899,1204
7.38,1598,1222,-25
7.39,3008,711,82
7.40,2093,-589,1245
7.41,-111,-1401,1954
7.42,-1560,-923,1482
7.43,-1356,311,636
7.44,-179,1360,738
7.45,660,1507,1412
7.46,1175,790,1181
7.47,1873,-88,499
7.48,1932,-570,718
7.49,850,-394,1538
7.50,-205,291,1713
7.51,-465,857,1257
7.52,-166,920,605
7.53,409,662,226
7.54,727,267,645
7.55,242,-107,1265
7.56,-456,-249,1217
7.57,-461,-218,682
7.58,310,69,194
7.59,972,363,-187
7.60,427,43,43
7.61,-772,-331,854
7.62,-747,64,1035
7.63,616,767,244
7.64,1527,803,-203
7.65,1312,-236,334
7.66,370,-1529,934
7.67,-1074,-1616,709
7.68,-2436,-479,302
7.69,-2800,1031,747
7.70,-1482,2202,1050
7.71,1188,2093,562
7.72,3269,572,272
7.73,3518,-1150,998
7.74,2624,-1383,1940
7.75,1450,-113,1903
7.76,641,1008,1092
7.77,364,1072,636
7.78,-17,511,953
7.79,-820,49,1230
7.80,-1375,92,1020
7.81,-1044,446,936
7.82,-20,724,1352
7.83,1142,771,1696
7.84,2127,505,1325
7.85,2564,29,847
7.86,2031,-209,713
7.87,1214,129,802
7.88,686,686,961
7.89,168,649,1169
7.90,-133,-48,1053
7.91,69,-769,566
7.92,-8,-838,370
7.93,-1209,-21,612
7.94,-2015,1102,987
7.95,-709,1774,617
7.96,1122,1408,95
7.97,1371,279,669
7.98,993,-548,1413
7.99,1310,-526,1149
8.00,1389,-195,810
8.01,643,-145,1232
8.02,113,-79,1306
8.03,305,247,103
8.04,205,266,-880
8.05,-511,-60,48
8.06,-723,-150,1558
8.07,-292,-33,1488
8.08,-159,-129,519
8.09,-347,-330,576
8.10,-355,-139,1324
8.11,-171,436,1378
8.12,338,794,1080
8.13,1228,594,1273
8.14,2237,304,1507
8.15,3179,335,1173
8.16,3109,173,762
8.17,1095,-458,938
8.18,-1504,-814,1502
8.19,-2644,-74,1534
8.20,-2520,1335,552
8.21,-1914,1979,-254
8.22,-503,1513,89
8.23,946,600,1099
8.24,1412,20,1759
8.25,2118,50,1698
8.26,3757,-60,1384
8.27,4648,-639,940
8.28,3896,-860,542
8.29,1977,-82,561
8.30,-669,1384,868
8.31,-2759,2656,1006
8.32,-3013,2904,798
8.33,-2263,1866,162
8.34,-1713,-10,-689
8.35,-998,-1651,-645
8.36,306,-2283,638
8.37,1569,-1953,1580
8.38,2196,-861,1094
8.39,2749,650,352
8.40,3230,1891,466
8.41,2430,2225,936
8.42,577,1625,1105
8.43,-996,320,749
8.44,-2535,-1443,127
8.45,-4269,-2618,-439
8.46,-4544,-2181,-640
8.47,-2983,-666,192
8.48,-1242,181,1207
8.49,649,-177,1446
8.50,3312,-436,1587
8.51,5382,451,1614
8.52,5898,1819,1329
8.53,5078,2075,1376
8.54,2586,859,1126
8.55,-523,-169,473
8.56,-2599,347,380
8.57,-3958,1749,777
8.58,-4651,2479,809
8.59,-4092,1426,525
8.60,-2753,-820,630
8.61,-717,-2471,1114
8.62,3161,-2211,1967
8.63,7950,-226,2418
8.64,10149,1331,1712
8.65,8098,1128,1103
8.66,4010,226,1559
8.67,418,-173,1953
8.68,-2541,395,1687
8.69,-4984,1471,1322
8.70,-6004,1632,838
8.71,-5615,215,220
8.72,-4711,-1228,165
8.73,-2526,-637,567
8.74,1112,1339,542
8.75,4060,2517,678
8.76,5485,2117,1475
8.77,6152,619,1781
8.78,5653,-1079,1466
8.79,3097,-2231,1030
8.80,-102,-2248,362
8.81,-1965,-1005,94
8.82,-3138,397,205
8.83,-4264,975,36
8.84,-4694,907,-336
8.85,-4570,587,-614
8.86,-3932,341,-777
8.87,-2026,80,-580
8.88,1004,-736,101
8.89,3964,-1826,1009
8.90,6020,-2123,1509
8.91,6505,-1255,1685
8.92,4850,528,1408
8.93,1808,2468,437
8.94,-933,3314,27
8.95,-3204,2382,728
8.96,-4951,482,1042
8.97,-4368,-1136,575
8.98,-1725,-2024,342
8.99,291,-2099,612
9.00,1546,-1481,1253
9.01,3279,-384,1890
9.02,4247,822,1799
9.03,3384,1417,789
9.04,1913,1453,138
9.05,583,1541,575
9.06,-987,1395,1153
9.07,-1726,719,1271
9.08,-865,43,1249
9.09,-140,-620,899
9.10,-482,-1352,622
9.11,-809,-924,1096
9.12,-395,914,1374
9.13,658,2258,780
9.14,1862,1874,462
9.15,2082,826,1087
9.16,1391,253,1983
9.17,1692,1,2019
9.18,3207,-241,1308
9.19,3629,-304,1092
9.20,1600,39,1568
9.21,-1555,648,1277
9.22,-3689,940,116
9.23,-3829,607,-381
9.24,-2571,22,191
9.25,-1053,-355,763
9.26,170,-376,971
9.27,1203,-172,989
9.28,2289,-30,694
9.29,3083,74,907
9.30,2771,588,1684
9.31,1648,1279,1736
9.32,997,1015,965
9.33,850,-465,464
9.34,534,-1849,782
9.35,-170,-1902,1281
9.36,-1227,-651,1026
9.37,-1774,950,211
9.38,-1127,2122,-74
9.39,-467,2287,441
9.40,-797,1040,959
9.41,-1040,-701,824
9.42,-209,-1374,367
9.43,1084,-761,220
9.44,1570,-34,782
9.45,1507,20,1350
9.46,1923,-289,1129
9.47,2217,-74,577
9.48,1392,1136,567
9.49,-126,2619,1074
9.50,-1086,2813,1351
9.51,-1049,981,1475
9.52,-672,-1462,1285
9.53,-264,-2376,548
9.54,260,-1177,219
9.55,645,846,493
9.56,946,1954,928
9.57,1525,1417,1411
9.58,1691,152,1284
9.59,935,-482,762
9.60,191,-343,713
9.61,211,152,835
9.62,573,740,730
9.63,472,899,1073
9.64,-324,381,1631
9.65,-706,-177,1234
9.66,-7,-336,246
9.67,597,-428,-107
9.68,669,-341,479
9.69,720,-21,1175
9.70,851,258,1063
9.71,868,596,259
9.72,395,996,-299
9.73,-554,1096,95
9.74,-825,442,1131
9.75,265,-1205,1866
9.76,1191,-2905,1667
9.77,895,-2904,815
9.78,132,-971,82
9.79,-546,1120,300
9.80,-669,2034,1121
9.81,352,1644,1516
9.82,1355,674,1137
9.83,770,140,292
9.84,-402,301,465
9.85,-476,724,1332
9.86,523,561,1343
9.87,1389,-703,1048
9.88,1038,-2097,930
9.89,-14,-1963,1041
9.90,-161,-275,1234
9.91,1132,1173,873
9.92,2657,1161,660
9.93,3305,357,1137
9.94,2900,-85,1357
9.95,1573,-183,1077
9.96,-351,-418,1061
9.97,-1870,-909,1398
9.98,-1584,-1466,1316
9.99,13,-1462,-49
10.00,1336,-629,-1257
10.01,2210,570,-687
10.02,3281,1652,133
10.03,4895,2141,-237
10.04,5977,1694,-1096
10.05,4990,948,-1394
10.06,2241,794,-1341
10.07,-555,1080,-1430
10.08,-2430,897,-1448
10.09,-3552,-315,-1142
10.10,-3728,-1470,-500
10.11,-2892,-996,-250
10.12,-1752,609,-380
10.13,-690,1609,254
10.14,57,1363,1759
10.15,496,666,3348
10.16,1032,295,4240
10.17,1050,-34,4016
10.18,254,-670,3413
10.19,-682,-1543,3658
10.20,-2129,-1891,4445
10.21,-3682,-810,4057
10.22,-3794,1079,2431
10.23,-3042,2203,1048
10.24,-2540,2004,528
10.25,-813,1285,695
10.26,3093,1053,1099
10.27,7458,1424,1474
10.28,10460,2008,2073
10.29,10409,3067,2296
10.30,6268,4465,1515
10.31,-404,4937,542
10.32,-6968,3915,-311
10.33,-11839,2260,-1256
10.34,-14429,995,-1305
10.35,-15008,264,-356
10.36,-12808,-447,569
10.37,-5608,-1524,2026
10.38,5149,-3063,3544
10.39,13697,-4701,4067
10.40,17108,-5548,3604
10.41,16642,-4901,2005
10.42,12842,-2541,-470
10.43,6096,1134,-2433
10.44,-1427,5094,-2968
10.45,-8087,7272,-2751
10.46,-12756,6038,-2251
10.47,-13451,2499,-1267
10.48,-8764,-1484,640
10.49,-614,-4929,2797
10.50,6836,-6772,4301
10.51,10874,-5815,4795
10.52,10459,-2238,3638
10.53,6786,1704,1012
10.54,2786,3407,-953
10.55,-265,2948,-753
10.56,-2676,2201,-164
10.57,-4535,1412,-528
10.58,-4856,128,-345
10.59,-2362,-1455,1191
10.60,1607,-2846,1982
10.61,3708,-3227,1022
10.62,2613,-1520,520
10.63,-70,2066,1165
10.64,-2144,4874,1156
10.65,-2768,4908,-232
10.66,-2440,2858,-1345
10.67,-1982,308,-513
10.68,-1588,-1426,1126
10.69,-915,-1746,1418
10.70,-99,-1022,141
10.71,363,421,-734
10.72,318,2383,-117
10.73,242,4096,794
10.74,465,4289,1342
10.75,1284,1617,1672
10.76,3446,-3096,1537
10.77,5884,-6042,1196
10.78,6307,-4192,1153
10.79,4066,1206,579
10.80,290,5710,-441
10.81,-3097,6310,-790
10.82,-4692,3457,-56
10.83,-4158,-242,2023
10.84,-1500,-3005,4325
10.85,2261,-5633,4094
10.86,4839,-8016,1815
10.87,5164,-7048,906
10.88,4219,-1124,1470
10.89,2825,6219,1666
10.90,567,9648,1197
10.91,-1773,7722,599
10.92,-3199,2489,1175
10.93,-4392,-3801,2508
10.94,-4308,-8304,2665
10.95,-1869,-8064,1624
10.96,301,-3380,316
10.97,480,2106,-604
10.98,983,5102,-1065
10.99,3003,4887,-532
11.00,5061,2622,1281
11.01,6260,-176,2833
11.02,5481,-2457,2884
11.03,1969,-3876,1942
11.04,-2055,-4288,1157
11.05,-4253,-3006,986
11.06,-4701,411,879
11.07,-3976,4353,273
11.08,-1970,5912,-650
11.09,877,3635,-1162
11.10,3395,-1211,348
11.11,5066,-5006,3689
11.12,5931,-5071,4362
11.13,5147,-2587,833
11.14,1641,495,-2506
11.15,-2875,3827,-2521
11.16,-5231,6208,-773
11.17,-4909,5951,354
11.18,-2790,4158,366
11.19,110,2274,-33
11.20,2212,-1079,134
11.21,2718,-5597,1279
11.22,2784,-7085,2159
11.23,3290,-3721,2155
11.24,3306,1389,1658
11.25,2257,4496,672
