2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
1.14,-0.1786800434,-2.57133024,-6.825306321
1.15,-0.1886957409,-2.565419136,-6.8344704801
1.16,-0.2039196011,-2.5650250624,-6.8392517805
1.17,-0.2127334149,-2.5626606208,-6.8516034732
1.18,-0.2179415776,-2.5571435904,-6.8683380246
1.19,-0.2239509961,-2.5528087808,-6.8786975088
1.20,-0.228357903,-2.549656192,-6.8842756926
1.21,-0.228357903,-2.5528087808,-6.881088159
1.22,-0.2379729726,-2.5599021056,-6.869134908
1.23,-0.2568024839,-2.5642369152,-6.8500097064
1.24,-0.2796382742,-2.5689657984,-6.8209234623
1.25,-0.3028746924,-2.5721183872,-6.8006029356
1.26,-0.3225054595,-2.573300608,-6.7986107271
1.27,-0.328514878,-2.5736946816,-6.7958216352
1.28,-0.3249092269,-2.5685717248,-6.7890481263
1.29,-0.3180985526,-2.5583258112,-6.7866574761
1.30,-0.3104866225,-2.5472917504,-6.7810792923
1.31,-0.3088841109,-2.54177472,-6.7723135749
1.32,-0.3112878783,-2.5374399104,-6.7603603239
1.33,-0.3076822272,-2.5346813952,-6.7559774652
1.34,-0.3016728087,-2.5374399104,-6.7743057834
1.35,-0.3024740645,-2.5488680448,-6.8065795611
1.36,-0.3008715529,-2.5579317376,-6.8400486639
1.37,-0.2936602507,-2.5583258112,-6.8755099752
1.38,-0.2788370184,-2.5543850752,-6.9105728448
1.39,-0.2660169256,-2.55162656,-6.9432450642
1.40,-0.2568024839,-2.545715456,-6.9679484496
1.41,-0.244383019,-2.5350754688,-6.9719328666
1.42,-0.244383019,-2.5248295552,-6.9476279229
1.43,-0.252395577,-2.520100672,-6.9041977776
1.44,-0.2588056234,-2.527982144,-6.8436346392
1.45,-0.2648150419,-2.5453213824,-6.7719151332
1.46,-0.2728275999,-2.5709361664,-6.7189223871
1.47,-0.2748307394,-2.594974656,-6.7037816025
1.48,-0.2656162977,-2.6060087168,-6.7392429138
1.49,-0.2560012281,-2.6016739072,-6.8121577449
1.50,-0.2531968328,-2.5839405952,-6.8759084169
1.51,-0.2551999723,-2.5599021056,-6.9101744031
1.52,-0.2584049955,-2.537833984,-6.9069868695
1.53,-0.2720263441,-2.5252236288,-6.8739162084
1.54,-0.2956633902,-2.5216769664,-6.837259572
1.55,-0.3076822272,-2.524041408,-6.8125561866
1.56,-0.3128903899,-2.524041408,-6.7986107271
1.57,-0.3217042037,-2.5114310528,-6.7842668259
1.58,-0.3341236686,-2.49251552,-6.7778917587
1.59,-0.3433381103,-2.476752576,-6.7830715008
1.60,-0.348546273,-2.464930368,-6.7866574761
1.61,-0.3429374824,-2.4617777792,-6.7818761757
1.62,-0.3261111106,-2.4712355456,-6.765540066
1.63,-0.2996696692,-2.4858162688,-6.7472117478
1.64,-0.2748307394,-2.5019732864,-6.7503992814
1.65,-0.2479886701,-2.5197065984,-6.785462151
1.66,-0.2235503682,-2.5323169536,-6.8392517805
1.67,-0.2075252522,-2.5354695424,-6.8818850424
1.68,-0.2007145779,-2.5334991744,-6.8986195938
1.69,-0.2091277638,-2.5271939968,-6.9018071274
1.70,-0.2167396939,-2.5224651136,-6.9065884278
1.71,-0.2079258801,-2.526011776,-6.9185416788
1.72,-0.1959070431,-2.5327110272,-6.9273073962
1.73,-0.1979101826,-2.5425628672,-6.9292996047
1.74,-0.2071246243,-2.5567495168,-6.928901163
1.75,-0.2187428334,-2.57133024,-6.9121666116
1.76,-0.2299604146,-2.58118208,-6.8822834841
1.77,-0.2375723447,-2.5843346688,-6.85319724
1.78,-0.2539980886,-2.5866991104,-6.8280954129
1.79,-0.2712250883,-2.59103392,-6.8057826777
1.80,-0.2676194372,-2.5914279936,-6.7922356599
1.81,-0.248389298,-2.59103392,-6.8057826777
1.82,-0.236370461,-2.5953687296,-6.8340720384
1.83,-0.2311622983,-2.6000976128,-6.8567832153
1.84,-0.2307616704,-2.606796864,-6.8747130918
1.85,-0.2259541356,-2.6123138944,-6.8938382934
1.86,-0.2171403218,-2.608767232,-6.9125650533
1.87,-0.216339066,-2.5981272448,-6.9221276541
1.88,-0.2231497403,-2.5859109632,-6.9161510286
1.89,-0.228357903,-2.5756650496,-6.8926429683
1.90,-0.2271560193,-2.5697539456,-6.8595723072
1.91,-0.2287585309,-2.5689657984,-6.8261032044
1.92,-0.2327648099,-2.5744828288,-6.797415402
1.93,-0.2343673215,-2.5827583744,-6.7818761757
1.94,-0.2391748563,-2.5922161408,-6.7755011085
1.95,-0.2463861585,-2.6000976128,-6.7683291579
1.96,-0.2556006002,-2.604826496,-6.769524483
1.97,-0.268420693,-2.6016739072,-6.7755011085
1.98,-0.2780357626,-2.5906398464,-6.7842668259
1.99,-0.2792376463,-2.5768472704,-6.7990091688
2.00,-0.2792376463,-2.5587198848,-6.8121577449
2.01,-0.2796382742,-2.5445332352,-6.8233141125
2.02,-0.28043953,-2.5425628672,-6.8376580137
2.03,-0.2760326231,-2.543745088,-6.8559863319
2.04,-0.2668181814,-2.5374399104,-6.8755099752
2.05,-0.2648150419,-2.5228591872,-6.8938382934
2.06,-0.2656162977,-2.510248832,-6.9133619367
2.07,-0.2620106466,-2.4956681088,-6.9265105128
2.08,-0.2543987165,-2.4771466496,-6.9420497391
2.09,-0.2495911817,-2.4633540736,-6.9468310395
2.10,-0.2471874143,-2.4586251904,-6.944838831
2.11,-0.2419792516,-2.4676888832,-6.9532061067
2.12,-0.2379729726,-2.4834518272,-6.9667531245
2.13,-0.2399761121,-2.4909392256,-6.9791048172
2.14,-0.2475880422,-2.494485888,-6.9834876759
2.15,-0.2547993444,-2.5074903168,-6.9667531245
2.16,-0.2664175535,-2.5334991744,-6.9269089545
2.17,-0.2820420416,-2.5571435904,-6.8675411412
2.18,-0.2940608786,-2.5744828288,-6.8006029356
2.19,-0.2888527159,-2.5898516992,-6.7428288891
2.20,-0.2784363905,-2.6032502016,-6.7205161539
2.21,-0.2712250883,-2.608767232,-6.7264927794
2.22,-0.2612093908,-2.6099494528,-6.7276881045
2.23,-0.2560012281,-2.6091613056,-6.7304771964
2.24,-0.2648150419,-2.6064027904,-6.741633564
2.25,-0.276433251,-2.60088576,-6.7460164227
2.26,-0.2792376463,-2.5945805824,-6.7368522636
2.27,-0.2824426695,-2.5933983616,-6.7280865462
2.28,-0.2864489485,-2.5922161408,-6.7384460304
2.29,-0.2832439253,-2.58118208,-6.7747042251
2.30,-0.272426972,-2.5646309888,-6.8233141125
2.31,-0.2568024839,-2.5461095296,-6.885072576
2.32,-0.2415786237,-2.5232532608,-6.9428466225
2.33,-0.2227491124,-2.4956681088,-6.97272975
2.34,-0.2095283917,-2.4700533248,-6.9735266334
2.35,-0.2091277638,-2.4475911296,-6.9536045484
2.36,-0.2127334149,-2.4357689216,-6.9296980464
2.37,-0.2159384381,-2.4385274368,-6.9137603784
2.38,-0.2135346707,-2.4523200128,-6.8982211521
2.39,-0.2071246243,-2.4680829568,-6.8743146501
